 1925 1926 1927 1928 1929 1930 1931 1932 1933 1934 1935 1936 1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1948 1949 1950 1951 1952 1953 1954 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000
                                                                                  
 297047 307205 315788 326032 331060 315787 280309 255843 265173 275749 282198 303945 323191 327246 335976 361859 411086 469986 522428 564778 609410 695461 811034 872984 896557 984154 1085902 1150482 1195898 1249704 1343778 1457577 1527693 1582347 1643059 1693739 1752246 1826504 1894840 2011944 2141750 2323991 2501833 2748401 2998609 3258789 3586824 3946367 4456376 5275954 5717471 6235791 6969040 7876129 9061725 10293977 11318715 11918727 12327687 13005009 13705300 14604994 15458322 16423101 17363919 18186533 18614536 19384774 20396609 21617704 22617033 23700986 24924786 26218656 27757073 29639626
 265014 273754 281148 290323 294555 281424 250163 229331 239421 250036 256520 276835 294533 298719 306511 329583 373875 428404 477265 517562 561472 639902 744146 796477 811057 883167 972819 1030434 1067621 1117646 1202140 1304981 1365654 1416796 1471551 1516923 1572306 1640285 1698322 1804942 1923155 2084984 2240446 2457962 2681555 2918141 3224422 3553867 4022217 4775962 5167344 5633492 6301198 7123339 8216890 9363352 10321068 10884618 11234765 11832037 12439828 13215197 13959905 14803138 15635976 16371917 16753894 17477280 18403646 19526130 20441473 21447285 22596001 23791268 25197122 26907415
 226984 234870 241418 249786 253987 241958 214277 193841 197850 204437 208000 222883 237555 239647 245070 262190 289487 310373 326320 344078 374808 445719 529479 582248 611476 671502 735896 776339 807950 842207 905673 976125 1022657 1055203 1099393 1131424 1167363 1208983 1245483 1330288 1418149 1538680 1649165 1815703 1973745 2129580 2366389 2613524 2968194 3489429 3815176 4207473 4787426 5472965 6339915 7212686 7949746 8376086 8667556 9163472 9657761 10266626 10857300 11540896 12197239 12760342 13021507 13582631 14318030 15203720 15908450 16722529 17653109 18649609 19767331 21164786
 126506 130015 133073 135245 135530 129183 116838 107550 107729 110392 112284 119255 126267 125461 126566 133868 148486 158416 162088 167335 184508 221061 263664 291475 304077 332013 365893 386386 401721 415045 448424 494558 526384 543182 564929 575856 591394 611521 632828 668428 714546 777984 838074 918567 1013214 1113896 1225585 1334583 1500373 1821697 2010064 2204037 2448959 2772742 3202606 3675903 4145785 4402703 4532780 4794620 5056417 5298800 5573999 5934825 6285064 6622673 6760468 6986782 7327079 7731509 8124204 8527229 9006806 9457771 9986814 10693610
 28346 29876 30899 31403 31941 30690 28292 25634 24570 24752 24784 26300 28846 28939 29378 31680 35779 36662 36298 37404 42575 52098 65198 77239 85263 96927 108275 115469 123500 129587 142179 158824 172831 179710 188662 194834 198985 206456 215723 228521 246023 273822 300832 332515 368233 404558 434473 468376 525240 648759 740502 818891 920301 1047984 1220885 1420129 1575632 1665730 1724231 1814414 1920649 2035134 2130594 2264893 2400238 2541947 2622815 2708167 2828576 2992448 3182826 3352197 3519778 3711580 3959184 4245428
 98161 100139 102174 103842 103589 98493 88546 81916 83160 85640 87500 92956 97422 96522 97188 102188 112707 121753 125790 129931 141933 168963 198466 214236 218814 235085 257617 270917 278221 285458 306245 335733 353553 363472 376266 381022 392410 405065 417106 439907 468523 504163 537242 586052 644981 709338 791112 866207 975133 1172938 1269562 1385146 1528658 1724758 1981721 2255773 2570153 2736973 2808549 2980206 3135768 3263666 3443405 3669932 3884827 4080726 4137653 4278615 4498504 4739061 4941378 5175032 5487028 5746191 6027631 6448182
 100477 104855 108345 114541 118457 112775 97439 86291 90120 94045 95717 103627 111287 114186 118504 128322 141000 151957 164232 176743 190300 224658 265815 290773 307399 339489 370003 389953 406229 427162 457249 481567 496273 512021 534465 555568 575968 597462 612654 661859 703603 760696 811091 897136 960531 1015684 1140804 1278941 1467821 1667733 1805112 2003436 2338466 2700223 3137309 3536783 3803961 3973382 4134776 4368853 4601344 4967826 5283301 5606071 5912174 6137669 6261038 6595849 6990951 7472211 7784245 8195300 8646303 9191838 9780516 10471177
 38030 38884 39731 40537 40568 39466 35887 35490 41572 45599 48520 53952 56979 59071 61441 67393 84388 118031 150946 173484 186664 194183 214667 214229 199581 211665 236923 254095 259670 275439 296467 328857 342997 361593 372158 385499 404943 431302 452839 474654 505006 546304 591282 642258 707810 788562 858033 940343 1054024 1286533 1352168 1426019 1513772 1650373 1876975 2150666 2371322 2508532 2567209 2668565 2782067 2948571 3102605 3262242 3438738 3611576 3732387 3894649 4085616 4322411 4533024 4724756 4942891 5141659 5429791 5742629
 38030 38884 39731 40537 40563 39456 35874 35476 41553 45576 48485 53845 56763 58811 61108 66833 83327 116328 148328 170480 183353 189956 208194 209222 194228 204990 228601 246502 251192 264404 288908 319774 333471 351187 360856 373548 392195 417679 438956 459905 489546 529786 573889 622702 686073 765350 831995 911182 1021083 1249721 1311877 1381064 1462013 1590642 1805875 2072703 2285843 2417865 2466696 2563482 2675868 2838519 2982632 3126528 3293807 3461866 3581629 3735047 3914692 4140114 4344180 4528590 4739083 4928396 5203724 5505679
 2860 2806 2779 2769 2444 2382 2323 2304 2313 2540 2817 2936 3116 3342 3604 3956 7810 22251 47331 69204 74074 64588 61795 52139 44183 40509 44192 50686 57456 63975 69432 73966 76195 77866 82336 85162 89106 96443 99104 101969 104606 110009 117416 122940 128131 135103 140299 150671 152204 160670 176590 189802 204722 215210 230370 256475 294735 324457 356688 376470 397113 422053 445114 479335 515831 558776 590390 619073 644787 671952 685578 691903 693530 697664 720262 740634
 35170 36078 36951 37768 38119 37075 33551 33172 39240 43036 45667 50908 53647 55469 57504 62877 75517 94078 100997 101276 109280 125368 146399 157083 150045 164481 184409 195817 193736 200429 219476 245807 257276 273321 278520 288386 303089 321235 339852 357936 384940 419777 456472 499763 557941 630247 691696 760512 868879 1089050 1135287 1191262 1257291 1375432 1575505 1816228 1991108 2093408 2110008 2187013 2278754 2416467 2537518 2647193 2777976 2903090 2991239 3115975 3269905 3468162 3658602 3836687 4045553 4230731 4483461 4765045
 0 0 0 0 6 10 12 14 18 23 35 107 216 261 332 560 1061 1703 2618 3003 3311 4227 6473 5007 5353 6675 8322 7592 8478 11035 7559 9083 9526 10406 11302 11951 12749 13624 13883 14750 15460 16519 17393 19556 21737 23212 26038 29161 32941 36812 40291 44955 51759 59732 71100 77963 85478 90667 100513 105082 106199 110052 119973 135714 144930 149710 150759 159602 170924 182297 188844 196166 203808 213263 226068 236950
 32033 33451 34640 35709 36504 34363 30145 26512 25752 25713 25678 27111 28657 28528 29465 32276 37212 41582 45162 47216 47938 55559 66887 76507 85500 100987 113082 120049 128277 132058 141638 152596 162039 165551 171507 176815 179940 186219 196518 207002 218595 239007 261387 290439 317054 340647 362401 392500 434159 499992 550127 602299 667842 752790 844835 930625 997647 1034109 1092922 1172972 1265472 1389797 1498416 1619963 1727942 1814615 1860642 1907494 1992963 2091574 2175559 2253701 2328785 2427388 2559951 2732211
                                                                                  
 265014 273754 281148 290323 294555 281424 250163 229331 239421 250036 256520 276835 294533 298719 306511 329583 373875 428404 477265 517562 561472 639902 744146 796477 811057 883167 972819 1030434 1067621 1117646 1202140 1304981 1365654 1416796 1471551 1516923 1572306 1640285 1698322 1804942 1923155 2084984 2240446 2457962 2681555 2918141 3224422 3553867 4022217 4775962 5167344 5633492 6301198 7123339 8216890 9363352 10321068 10884618 11234765 11832037 12439828 13215197 13959905 14803138 15635976 16371917 16753894 17477280 18403646 19526130 20441473 21447285 22596001 23791268 25197122 26907415
 164536 168899 172803 175782 176092 168639 152712 143025 149283 155969 160768 173100 183030 184272 187674 200702 231813 274744 310416 337816 367861 411017 471858 500697 498305 537003 594494 632888 652914 679449 737332 814332 859856 894369 925784 949404 983589 1029200 1071784 1128333 1204092 1307770 1411963 1541269 1699286 1879246 2057580 2245765 2521456 3071417 3321941 3585101 3910973 4363384 5008481 5748606 6431628 6820569 6999476 7358102 7732285 8137319 8556631 9061353 9578872 10084539 10342097 10721829 11241771 11871622 12468384 13055819 13745890 14386167 15190538 16199289
 31206 32681 33678 34172 34385 33072 30615 27937 26883 27292 27601 29236 31962 32281 32982 35637 43588 58913 83629 106608 116649 116687 126993 129378 129447 137437 152468 166155 180956 193562 211612 232791 249026 257576 270998 279996 288090 302900 314826 330490 350629 383830 418249 455454 496365 539661 574772 619046 677444 809429 917092 1008692 1125023 1263194 1451255 1676604 1870367 1990187 2080919 2190884 2317763 2457187 2575708 2744228 2916069 3100723 3213205 3327239 3473363 3664400 3868403 4044099 4213308 4409245 4679446 4986062
 133330 136217 139125 141610 141708 135568 122097 115088 122400 128676 133167 143864 151069 151990 154693 165065 188225 215831 226787 231208 251212 294331 344864 371319 368859 399566 442027 466733 471957 485887 525720 581541 610830 636792 654786 669408 695499 726300 756958 797843 853463 923940 993714 1085815 1202922 1339585 1482808 1626719 1844012 2261989 2404849 2576408 2785950 3100190 3557226 4072002 4561261 4830381 4918557 5167218 5414522 5680133 5980923 6317125 6662803 6983816 7128892 7394590 7768409 8207222 8599980 9011720 9532581 9976922 10511092 11213226
 100477 104855 108345 114541 118463 112784 97451 86305 90138 94068 95752 103735 111503 114447 118836 128882 142061 153660 166849 179746 193611 228885 272288 295780 312752 346164 378325 397545 414707 438197 464808 490650 505798 522427 545767 567519 588717 611085 626537 676609 719063 777214 828484 916692 982268 1038895 1166842 1308101 1500762 1704545 1845403 2048391 2390225 2759955 3208409 3614746 3889440 4064049 4235289 4473935 4707543 5077878 5403274 5741785 6057105 6287379 6411797 6755451 7161874 7654508 7973090 8391466 8850111 9405101 10006584 10708126
                                                                                  
 38030 38884 39731 40537 40568 39466 35887 35490 41572 45599 48520 53952 56979 59071 61441 67393 84388 118031 150946 173484 186664 194183 214667 214229 199581 211665 236923 254095 259670 275439 296467 328857 342997 361593 372158 385499 404943 431302 452839 474654 505006 546304 591282 642258 707810 788562 858033 940343 1054024 1286533 1352168 1426019 1513772 1650373 1876975 2150666 2371322 2508532 2567209 2668565 2782067 2948571 3102605 3262242 3438738 3611576 3732387 3894649 4085616 4322411 4533024 4724756 4942891 5141659 5429791 5742629
 9168 8992 8702 8482 7893 7451 6832 6676 7562 8591 9884 11380 12578 13351 14000 15711 24429 50901 82708 106827 117424 116596 121705 113025 102959 102693 114318 124199 131110 141159 147393 159798 165855 172287 176502 180468 187611 198674 204694 209977 216927 228058 243545 256205 271694 290932 308631 338234 363859 411377 436502 470390 493187 528408 586729 652727 709137 752531 791342 826493 855560 895487 929450 985920 1039464 1087074 1129791 1176047 1228962 1279232 1314386 1343208 1366952 1381353 1423500 1463280
 28862 29892 31028 32055 32675 32015 29055 28814 34009 37008 38636 42572 44400 45720 47441 51682 59959 67130 68238 66657 69240 77586 92962 101204 96622 108973 122606 129895 128560 134280 149074 169059 177142 189306 195657 205031 217332 232629 248145 264677 288079 318246 347737 386053 436116 497630 549403 602109 690164 875155 915666 955629 1020585 1121965 1290246 1497939 1662185 1756001 1775867 1842072 1926506 2053084 2173155 2276323 2399274 2524502 2602596 2718602 2856654 3043179 3218638 3381548 3575939 3760306 4006292 4279349
