 1901 1902 1903 1904 1905 1906 1907 1908 1909 1910 1911 1912 1913 1914 1915 1916 1917 1918 1919 1920 1921 1922 1923 1924 1925 1926 1927 1928 1929 1930 1931 1932 1933 1934 1935 1936 1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1948 1949 1950 1951 1952 1953 1954 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000
                                                                                                          
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  7175 7173 9281 12099 16345 16392 18130 15929 17434 22227 22609 24904 26316 25572 25672 26575 21272 15535 9845 8951 11021 12867 16891 19221 16979 19824 22755 33085 43426 51965 51667 43879 42343 57661 70245 72674 86116 96364 101612 108985 108795 119989 125821 132117 128055 142978 143755 144978 159284 169372 183209 202637 217788 226513 253560 269260 273133 302925 345693 391842 409650 426428 484863 570686 673700 761061 781290 863499 862949 948461 1108571 1217884 1299273 1348530 1409246 1500002 1516115 1455963 1549169 1678767 1802981 1924386 2054623 2221522 2425148 2607503 2826767
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  5250 5269 6800 9136 12415 10858 11502 9920 11847 15079 15327 16966 17865 17358 17147 17168 13715 9720 5651 4820 6572 7791 10870 12534 11444 13142 14902 23416 37044 45939 45514 36576 28142 39034 48753 48677 57525 67108 71960 77079 76720 83267 89020 92255 89199 101839 101717 104206 112856 118943 129394 141694 153859 158575 173534 188053 190484 208901 240780 274188 289237 297076 335622 400176 479554 552930 574230 637017 629263 678677 794225 862003 901318 926423 972288 1028786 1052909 1014418 1063408 1144846 1245008 1331136 1455191 1570055 1712703 1851043 2006600
 2794 3241 3488 3324 3949 4519 4797 4011 4731 4985 4762 5363 5539 4630 4483 6033 6949 7452 8627 10046 8316 10069 13341 13262 14640 15533 14702 14399 14337 10546 6732 3501 2892 3928 5030 6754 8757 7257 8623 10532 12671 8544 6889 8786 12377 24656 34461 41754 38981 47752 49571 49693 53280 54234 62040 66019 67895 62748 72529 73475 72973 79621 85301 94761 106096 113470 114797 128983 143760 145955 165349 194692 224901 232017 233033 269950 333524 403814 465859 475487 530600 517213 556582 655601 704239 728996 743118 787036 831687 837790 794517 841637 925296 1020054 1091460 1197822 1305251 1435606 1546619 1688346
 1957 2433 2645 2378 2524 3059 3482 2688 3151 3652 3458 3928 4119 3239 2986 4395 5756 6669 6797 8379 6053 6559 8735 8000 8959 9800 9341 9405 10392 8192 4952 2734 2276 2989 3721 5014 6675 5106 5549 6944 8497 6255 5396 7387 10649 16703 22228 25894 24101 27026 30953 30959 33761 33055 37006 42428 45714 40400 44421 47190 46571 50644 53164 60487 71879 81183 82440 90263 101139 104590 109585 125028 149555 166055 170303 187467 223227 272196 324828 352239 407962 411533 404042 475806 517297 510874 515544 553278 594359 615746 600871 611660 668325 729799 808892 882804 976995 1071246 1143111 1263315
 681 789 855 770 929 1217 1472 908 1113 1313 1226 1583 1806 1415 1485 2344 3444 4384 4028 4211 3140 3290 4668 3779 4440 4515 4066 4246 4905 3733 2319 1329 1171 1742 2274 3125 3996 2965 3283 4358 5390 4076 3678 5083 7380 10130 14808 16568 15034 17053 19091 18882 20366 19289 21962 24372 26895 23021 26372 27802 26980 30089 32322 37122 44105 50884 51845 57667 64398 65614 68309 79161 96216 107363 110628 124500 151960 184988 215262 224066 250459 244153 258132 304274 324022 336798 340759 372919 404020 411902 421366 446436 491890 548309 606272 656357 719751 788533 859693 951732
 1276 1644 1790 1608 1595 1842 2010 1780 2038 2339 2232 2345 2313 1824 1501 2051 2312 2285 2769 4168 2913 3269 4067 4221 4519 5285 5275 5159 5487 4459 2633 1405 1105 1247 1447 1889 2679 2141 2266 2586 3107 2179 1718 2304 3269 6573 7420 9326 9067 9973 11862 12077 13395 13766 15044 18056 18819 17379 18049 19388 19591 20555 20842 23365 27774 30299 30595 32596 36741 38976 41276 45867 53339 58692 59675 62967 71267 87208 109566 128173 157503 167380 145910 171532 193275 174076 174785 180359 190339 203844 179505 165224 176435 181490 202620 226447 257244 282713 283418 311584
 837 808 843 946 1425 1460 1315 1323 1580 1333 1304 1435 1420 1391 1497 1638 1193 783 1830 1667 2263 3510 4606 5262 5681 5733 5361 4994 3945 2354 1780 767 616 939 1309 1740 2082 2151 3074 3588 4174 2289 1493 1399 1728 7953 12233 15860 14880 20726 18618 18734 19519 21179 25034 23591 22181 22348 28108 26285 26402 28977 32137 34274 34217 32287 32357 38720 42621 41365 55764 69664 75346 65962 62730 82483 110297 131618 141031 123248 122638 105680 152540 179795 186942 218122 227574 233758 237328 222044 193646 229977 256971 290254 282568 315019 328255 364360 403508 425030
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  620 786 767 2187 4963 2231 1456 1604 1778 1738 2065 2326 2332 2656 2748 2831 3169 2988 2150 1928 2644 2761 4116 3777 4187 4519 4370 10745 28500 39050 36728 24199 3486 4573 6999 9696 9773 17537 22267 23799 22486 21227 23001 24360 26451 29310 28243 31232 33235 33642 34632 35598 40389 43777 44551 44293 44530 43552 46088 49287 57220 64043 65672 66652 75740 87072 98743 106417 112049 122096 138624 157764 172322 183305 185253 197099 215119 219901 221771 219549 224954 239676 257369 264804 277097 304425 318254
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  620 786 767 2187 4963 2231 1456 1604 1778 1738 2065 2326 2332 2656 2748 2825 3164 2984 2146 1925 2640 2749 4049 3676 4146 4448 4162 10299 27934 38274 36505 24112 3104 4361 6832 9326 9412 16923 21583 23207 22114 20916 22659 23802 25553 28300 27442 30286 32179 33001 33946 34858 39576 42873 43614 43055 43218 42186 44805 47899 55758 62227 64025 64855 73923 84929 96039 103187 108728 118253 134862 153412 167828 178395 180381 192172 209664 214850 216416 214371 219950 233963 252339 259560 272096 299155 312920
