  1925 1926 1927 1928 1929 1930 1931 1932 1933 1934 1935 1936 1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1948 1949 1950 1951 1952 1953 1954 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000
                                                                                  
 38030 38884 39731 40537 40568 39466 35887 35490 41572 45599 48520 53952 56979 59071 61441 67393 84388 118031 150946 173484 186664 194183 214667 214229 199581 211665 236923 254095 259670 275439 296467 328857 342997 361593 372158 385499 404943 431302 452839 474654 505006 546304 591282 642258 707810 788562 858033 940343 1054024 1286533 1352168 1426019 1513772 1650373 1876975 2150666 2371322 2508532 2567209 2668565 2782067 2948571 3102605 3262242 3438738 3611576 3732387 3894649 4085616 4322411 4533024 4724756 4942891 5141659 5429791 5742629
 2860 2806 2779 2769 2444 2382 2323 2304 2313 2540 2817 2936 3116 3342 3604 3956 7810 22251 47331 69204 74074 64588 61795 52139 44183 40509 44192 50686 57456 63975 69432 73966 76195 77866 82336 85162 89106 96443 99104 101969 104606 110009 117416 122940 128131 135103 140299 150671 152204 160670 176590 189802 204722 215210 230370 256475 294735 324457 356688 376470 397113 422053 445114 479335 515831 558776 590390 619073 644787 671952 685578 691903 693530 697664 720262 740634
 35170 36078 36951 37768 38125 37084 33564 33186 39258 43059 45702 51015 53863 55729 57837 63437 76578 95781 103615 104280 112590 129594 152872 162089 155398 171156 192731 203409 202214 211464 227034 254890 266802 283727 289822 300337 315838 334859 353736 372685 400400 436296 473865 519319 579678 653459 717734 789672 901820 1125862 1175578 1236218 1309050 1435163 1646605 1894191 2076587 2184075 2210521 2292095 2384954 2526518 2657492 2782907 2922906 3052800 3141998 3275577 3440829 3650459 3847446 4032853 4249361 4443994 4709529 5001994
 8339 8731 9058 9420 9518 9022 8110 7587 8200 8922 9282 11006 12528 13166 14120 15600 18567 23605 26842 28785 32559 38636 48571 49599 48238 54453 63046 65734 68725 74076 77258 86434 91341 96456 101130 104098 109118 114051 119292 126393 136082 148670 161060 178820 201174 223024 249668 271936 304529 361078 381759 411194 453488 506948 579826 652178 713205 755427 790333 831197 864375 910843 966154 1027000 1086437 1139263 1170566 1226775 1297425 1382153 1451213 1527211 1625766 1733525 1857243 1987548
 0 0 0 0 6 10 12 14 18 23 35 107 216 261 332 560 1061 1703 2618 3003 3311 4227 6473 5007 5353 6675 8322 7592 8478 11035 7559 9083 9526 10406 11302 11951 12749 13624 13883 14750 15460 16519 17393 19556 21737 23212 26038 29161 32941 36812 40291 44955 51759 59732 71100 77963 85478 90667 100513 105082 106199 110052 119973 135714 144930 149710 150759 159602 170924 182297 188844 196166 203808 213263 226068 236950
 0 0 0 0 0 0 0 0 2 14 18 63 109 163 184 331 1701 5325 7017 7958 9533 11226 12466 13173 12574 12659 14694 16070 17191 17975 18944 20574 22012 22577 20911 20117 20472 20182 20358 20189 21583 22625 24883 24506 26006 27687 30020 29135 31919 38360 37226 37676 39163 41656 46596 53000 58129 60216 60202 61205 62695 64661 67011 68390 70541 72673 72869 73487 73988 75811 77751 79670 81613 83254 84960 87101
 5743 6001 6189 6387 6388 5972 5248 4763 5039 5397 5547 6418 7115 7343 7781 8310 8880 9361 9708 10018 11074 12980 16749 17839 17299 19648 22745 23881 24940 26226 29839 34201 36267 38737 42079 44236 46785 49356 52045 56282 60762 67710 74014 84145 95422 107035 119147 131163 147092 174003 184172 197583 217057 240833 272561 304439 328728 344879 355677 371574 384567 403218 421170 441079 463113 482290 494367 517316 545561 580596 610090 642801 687750 737142 795143 858632
 890 935 988 1067 1101 1080 1001 966 1064 1159 1198 1382 1551 1628 1747 1887 2024 2138 2250 2372 2693 3228 4167 4486 4571 5401 6362 6727 6937 6954 7618 8345 8532 8749 9366 9584 9875 10215 10742 11212 11861 12543 13227 14590 16563 18838 21505 23490 25493 31111 32460 34601 37255 41284 47027 53687 60483 65929 70010 74650 78092 81302 85343 89525 93762 98393 100585 103285 107856 113632 118787 124140 131606 138991 145587 153102
 1706 1795 1881 1966 2023 1960 1848 1843 2077 2329 2484 3036 3537 3772 4075 4512 4901 5078 5249 5434 5948 6975 8717 9095 8441 10070 10924 11464 11179 11886 13299 14231 15005 15986 17472 18209 19236 20675 22264 23961 26416 29274 31543 36023 41445 46252 52957 58988 67085 80793 87609 96380 108254 123444 142543 163089 180387 193735 203931 218685 232821 251610 272658 292292 314090 336198 351986 373084 399095 429816 455740 484434 520990 560875 605485 651763
 15718 15979 16226 16319 16415 16097 14304 14724 18224 19848 20962 22062 21685 22017 22380 24631 30861 37139 37420 34690 34868 37843 44421 47892 43795 49256 55379 58325 53727 56222 62454 71719 73881 80071 80486 84010 89581 97599 105352 111187 121982 135712 148754 161287 181688 211999 226529 246344 290389 385672 382879 378303 383697 405402 468491 564893 646618 673804 649574 648822 680004 734063 779786 794772 826828 868830 888929 909598 941245 1004446 1074635 1128995 1193079 1237855 1324744 1423833
 4472 4401 4216 4039 3804 3448 3023 2856 3098 3280 3435 3651 3685 3648 3744 4338 7096 14617 17875 18422 20675 24241 27167 27465 25718 28206 32149 33769 32801 33073 35391 39115 40013 43241 43556 44454 45823 47543 48744 49761 49718 51549 55321 59174 63738 70575 74908 89644 105118 125824 126994 141416 140245 151687 173052 191786 187763 189564 188737 201895 211326 226523 226566 236081 245367 248605 260899 276110 294888 307417 317618 325722 334332 340601 350967 361900
 1583 1625 1681 1755 1834 1860 1779 1738 2206 2726 3478 4381 5108 5563 5957 6502 6811 7140 7895 8295 9712 12147 13918 15796 16173 15881 17310 18628 19040 19204 20461 22745 24121 24747 25185 26340 27839 29458 31238 33282 35837 38755 41891 45397 49677 53986 59449 64172 69588 82548 95393 102189 109659 118829 132791 149371 164984 174888 177764 182554 187223 191205 195598 203667 214940 223275 230527 234684 241831 251137 265622 279623 291595 294276 303757 317470
 1641 1760 1906 2071 2163 2169 1995 1899 2149 2386 2568 2994 3318 3515 3666 3919 4145 4200 4520 4777 4807 5492 6088 7033 7279 8271 8733 9506 10265 10833 11923 13311 14545 15237 14775 15664 16586 17802 19016 20125 21517 23232 24710 27465 30166 34113 40215 44716 49746 62852 69894 77625 86824 99844 115704 131483 138225 147917 154072 165180 169406 177162 185605 198187 207658 214950 220634 238068 253560 268181 277527 289851 298175 310157 319105 326864
