 1789    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1790    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1791    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1792    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1793    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1794    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1795    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1796    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1797    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1798    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1799    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1800    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1801    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1802    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1803    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1804    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1805    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1806    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1807    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1808    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1809    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1810    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1811    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1812    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1813    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1814    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1815    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1816    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1817    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1818    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1819    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1820    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1821    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1822    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1823    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1824    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1825    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1826    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1827    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1828    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1829    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1830    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1831    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1832    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1833    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1834    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1835    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1836    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1837    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1838    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1839    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1840    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1841    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1842    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1843    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1844    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1845    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1846    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1847    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1848    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1849    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1850    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1851    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1852    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1853    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1854    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1855    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1856    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1857    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1858    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1859    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1860    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1861    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1862    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1863    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1864    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1865    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1866    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1867    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1868    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1869    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1870    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1871    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1872    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1873    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1874  37046  36954   848    92    756  36198   15381 20817
 1875    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1876    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1877    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1878    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1879    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1880    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1881    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1882    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1883    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1884  51192  51110  1162    82   1080  50030  19422  30608
 1885    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1886    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1887    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1888    NaN    NaN   NaN   NaN    NaN    NaN    NaN    NaN
 1889  60133  60049  1378    84   1294  58755  21045  37710
 1890  62280  62200  1411    80   1331  60869  21337  39532
 1891  63896  63819  1443    77   1366  62453  21538  40915
 1892  66002  65923  1491    79   1412  64511  21738  42773
 1893  65309  65228  1525    81   1444  63784  21939  41845
 1894  63096  63009  1571    87   1484  61525  22139  39386
 1895  66921  66834  1613    87   1526  65308  22340  42968
 1896  66917  66834  1633    83   1550  65284  22541  42743
 1897  68990  68906  1670    84   1586  67320  22741  44579
