 1929 1930 1931 1932 1933 1934 1935 1936 1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1948 1949 1950 1951 1952 1953 1954 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001
 103.7 91.3 76.6 58.8 56.4 66 73.3 83.7 91.9 86.1 92 101.3 126.7 161.8 198.4 219.7 223 222.3 244.4 269.6 267.7 294.3 339.5 358.6 379.9 381.1 415.2 438 461.5 467.9 507.4 527.4 545.7 586.5 618.7 664.4 720.1 789.3 834.1 911.5 985.3 1039.7 1128.6 1240.4 1385.5 1501 1635.2 1823.9 2031.4 2295.9 2566.4 2795.6 3131.3 3259.2 3534.9 3932.7 4213 4452.9 4742.5 5108.3 5489.1 5803.2 5986.2 6318.9 6642.3 7054.3 7400.5 7813.2 8318.4 8781.5 9268.6 9872.9 10208.1
 77.5 70.2 60.7 48.7 45.9 51.5 55.9 62.2 66.8 64.2 67.2 71.2 81 88.9 99.7 108.5 119.8 144.2 162.3 175.4 178.8 192.7 208.6 219.7 233.4 240.5 259 271.9 287 296.6 318.1 332.3 342.7 363.8 383.1 411.7 444.3 481.8 508.7 558.7 605.5 648.9 702.4 770.7 852.5 932.4 1030.3 1149.8 1278.4 1430.4 1596.3 1762.9 1944.2 2079.3 2286.4 2498.4 2712.6 2895.2 3105.3 3356.6 3596.7 3831.5 3971.2 4209.7 4454.7 4716.4 4969 5237.5 5529.3 5856 6250.2 6728.4 7064.5
 9.2 7.2 5.5 3.6 3.5 4.2 5.1 6.3 6.9 5.7 6.7 7.8 9.7 6.9 6.5 6.7 8 15.8 20.4 22.9 25.1 30.7 29.9 29.3 32.7 31.9 38.8 38.1 40 37.4 42.7 43.3 41.8 46.9 51.6 56.7 63.3 68.3 70.4 80.8 85.9 85 96.9 110.4 123.5 122.3 133.5 158.9 181.2 201.7 214.4 214.2 231.3 240.2 281.2 326.9 363.3 401.3 419.7 450.2 467.8 467.6 443 470.8 513.4 560.8 589.7 616.5 642.5 693.2 760.9 819.6 858.3
 37.7 34 29 22.7 22.3 26.7 29.3 32.9 35.2 34 35.1 37 42.9 50.8 58.6 64.3 71.9 82.7 90.9 96.6 94.9 98.2 109.2 114.7 117.8 119.7 124.7 130.8 137.1 141.7 148.5 152.9 156.6 162.8 168.2 178.7 191.6 208.8 217.1 235.7 253.2 272 285.5 308 343.1 384.5 420.7 458.3 497.2 550.2 624.4 696.1 758.9 787.6 831.2 884.7 928.8 958.5 1015.3 1082.9 1165.4 1246.1 1278.8 1322.9 1375.2 1438 1497.3 1574.1 1641.6 1708.5 1831.3 1989.6 2055.1
 30.5 29 26.3 22.4 20.2 20.5 21.5 23 24.7 24.6 25.4 26.4 28.5 31.3 34.6 37.4 40 45.8 51 55.9 58.9 63.7 69.6 75.6 82.9 88.9 95.4 102.9 109.9 117.4 127 136.1 144.3 154.1 163.4 176.4 189.5 204.7 221.2 242.3 266.4 292 320 352.3 385.9 425.5 476.1 532.6 600 678.4 757.4 852.7 954 1051.5 1174 1286.9 1420.6 1535.4 1670.3 1823.5 1963.5 2117.8 2249.4 2415.9 2566.1 2717.6 2882 3047 3245.2 3454.3 3658 3919.2 4151.1
 16.5 10.8 5.9 1.3 1.7 3.7 6.7 8.6 12.2 7.1 9.3 13.6 18.1 10.4 6.1 7.8 10.8 31.1 35 48.1 36.9 54.1 60.2 54 56.4 53.8 69 72 70.5 64.5 78.5 78.9 78.2 88.1 93.8 102.1 118.2 131.3 128.6 141.2 156.4 152.4 178.2 207.6 244.5 249.4 230.2 292 361.3 436 490.6 477.9 570.8 516.1 564.2 735.5 736.3 747.2 781.5 821.1 872.9 861.7 800.2 866.6 955.1 1097.1 1143.8 1242.7 1390.5 1538.7 1636.7 1767.5 1633.9
 14.9 11 7 3.6 3.1 4.3 5.6 7.5 9.5 7.7 9.1 11.2 13.8 8.5 6.9 8.7 12.3 25.1 35.5 42.4 39.6 48.3 50.3 50.5 54.5 55.8 64 68.1 69.7 64.9 74.6 75.7 75.2 82 88.1 97.2 109 117.7 118.7 132.1 147.3 150.4 169.9 198.5 228.6 235.4 236.5 274.8 339 410.2 472.7 484.2 541 531 570 670.1 714.5 740.7 754.3 802.7 845.2 847.2 800.4 851.6 934 1034.6 1110.7 1212.7 1327.7 1465.6 1578.2 1718.1 1692.4
 11 8.6 5.3 2.9 2.5 3.3 4.3 5.8 7.5 5.5 6.1 7.7 9.7 6.3 5.4 7.4 10.6 17.3 23.5 26.8 24.9 27.8 31.8 31.9 35.1 34.7 39 44.5 47.5 42.5 46.5 49.4 48.8 53.1 56 63 74.8 85.4 86.4 93.4 104.7 109 114.1 128.8 153.3 169.5 173.7 192.4 228.7 278.6 331.6 360.9 418.4 425.3 417.4 490.3 527.6 522.5 526.7 568.4 613.4 630.3 608.9 626.1 682.2 748.6 825.1 899.4 999.4 1101.2 1174.6 1293.1 1246
 5.5 4.4 2.6 1.4 1.1 1.2 1.4 1.9 2.7 2.1 2.2 2.6 3.3 2.2 1.8 2.4 3.3 7.4 8.1 9.5 9.2 10 12 12.2 13.6 13.9 15.2 18.2 19 17.6 18.1 19.6 19.7 20.8 21.2 23.7 28.3 31.3 31.5 33.6 37.7 40.3 42.7 47.2 55 61.2 61.4 65.9 74.6 91.4 114.9 133.9 164.6 175 152.7 176 193.3 175.8 172.1 181.6 193.4 202.5 183.4 172.2 179.4 187.5 204.6 225 255.8 282.4 283.5 313.6 330.3
 5.5 4.2 2.6 1.5 1.4 2.1 2.8 3.9 4.8 3.4 3.9 5.2 6.4 4.1 3.7 5 7.3 9.9 15.3 17.3 15.7 17.8 19.9 19.7 21.5 20.8 23.9 26.3 28.6 24.9 28.4 29.8 29.1 32.3 34.8 39.2 46.5 54 54.9 59.9 67 68.7 71.5 81.7 98.3 108.2 112.4 126.4 154.1 187.2 216.7 227 253.8 250.3 264.7 314.3 334.3 346.8 354.7 386.8 420 427.8 425.4 453.9 502.8 561.1 620.5 674.4 743.6 818.9 891.1 979.5 915.8
 4 2.4 1.8 0.8 0.6 0.9 1.3 1.7 2.1 2.1 3 3.5 4.1 2.2 1.4 1.4 1.7 7.8 12.1 15.6 14.6 20.5 18.4 18.6 19.4 21.1 25 23.6 22.2 22.3 28.1 26.3 26.4 29 32.1 34.3 34.2 32.3 32.4 38.7 42.6 41.4 55.8 69.7 75.3 66 62.7 82.5 110.3 131.6 141 123.2 122.6 105.7 152.5 179.8 186.9 218.1 227.6 234.2 231.8 216.8 191.5 225.5 251.8 286 285.6 313.3 328.2 364.4 403.5 425.1 446.3
 1.5 -0.2 -1.1 -2.4 -1.4 -0.6 1.1 1.2 2.6 -0.6 0.2 2.4 4.3 1.9 -0.7 -0.9 -1.5 6 -0.6 5.7 -2.7 5.8 9.9 3.5 1.9 -1.9 5 3.9 0.8 -0.4 3.9 3.2 3 6.1 5.6 4.8 9.2 13.6 9.9 9.1 9.2 2 8.3 9.1 15.9 14 -6.3 17.1 22.3 25.8 18 -6.3 29.8 -14.9 -5.8 65.4 21.8 6.6 27.1 18.5 27.7 14.5 -0.2 15 21.1 62.6 33 30 62.9 73.1 58.6 49.4 -58.4
 0.4 0.3 0 0 0.1 0.3 -0.2 -0.2 0 0.9 0.8 1.4 1 -0.3 -2.4 -2.2 -0.9 7.1 10.8 5.4 5.2 0.7 2.4 1 -0.8 0.3 0.4 2.3 4 0.4 -1.7 2.4 3.4 2.4 3.3 5.5 3.9 1.9 1.4 -1.3 -1.2 1.2 -3 -8 0.6 -3.1 13.6 -2.3 -23.7 -26.1 -24 -14.9 -15 -20.5 -51.7 -102 -114.2 -131.9 -142.3 -106.3 -80.7 -71.4 -20.7 -27.9 -60.5 -87.1 -84.3 -89 -89.3 -151.7 -250.9 -364 -329.8
 5.9 4.4 2.9 2 2 2.6 2.8 3 4 3.8 3.9 4.8 5.4 4.3 3.9 4.8 6.7 14.1 18.7 15.5 14.4 12.3 17 16.3 15.2 15.7 17.6 21.2 23.9 20.4 20.6 25.3 26 27.4 29.4 33.6 35.4 38.9 41.4 45.3 49.3 57 59.3 66.2 91.8 124.3 136.3 148.9 158.8 186.1 228.7 278.9 302.8 282.6 277 303.1 303 320.3 365.6 446.9 509 557.2 601.6 636.8 658 725.1 818.6 874.2 966.4 964.9 989.8 1102.9 1050.4
 5.3 3.9 2.5 1.7 1.7 2.2 2.4 2.6 3.5 3.2 3.3 4.1 4.5 3.4 2.9 3.6 5.4 11.8 16.1 13.3 12.2 10.2 14.2 13.4 12.4 12.9 14.4 17.6 19.6 16.4 16.5 20.5 20.9 21.7 23.3 26.7 27.8 30.7 32.2 35.3 38.3 44.5 45.6 51.8 73.9 101 109.6 117.8 123.7 145.4 184 225.8 239.1 215 207.3 225.6 222.2 226 257.5 325.8 371.7 398.5 426.4 448.7 459.7 509.6 583.8 618.4 688.9 681.3 698.3 785.6 736.4
 0.6 0.5 0.4 0.3 0.3 0.3 0.4 0.4 0.6 0.5 0.6 0.7 0.9 0.9 1 1.2 1.3 2.3 2.6 2.2 2.2 2.1 2.8 2.9 2.8 2.8 3.2 3.6 4.3 4 4.2 4.8 5.1 5.7 6.1 6.9 7.6 8.2 9.2 10 11 12.4 13.8 14.4 17.8 23.3 26.7 31.1 35.1 40.7 44.7 53.2 63.7 67.6 69.7 77.5 80.8 94.3 108.1 121.1 137.3 158.6 175.2 188.1 198.3 215.5 234.7 255.8 277.5 283.6 291.5 317.3 314
 5.6 4.1 2.9 1.9 1.9 2.2 3 3.2 4 2.8 3.1 3.4 4.4 4.6 6.3 6.9 7.5 7 7.9 10.1 9.2 11.6 14.6 15.3 16 15.4 17.2 18.9 19.9 20 22.3 22.8 22.7 25 26.1 28.1 31.5 37.1 39.9 46.6 50.5 55.8 62.3 74.2 91.2 127.5 122.7 151.1 182.4 212.3 252.7 293.8 317.8 303.2 328.6 405.1 417.2 452.2 507.9 553.2 589.7 628.6 622.3 664.6 718.5 812.1 902.8 963.1 1055.8 1116.7 1240.6 1466.9 1380.1
 4.5 3.1 2.1 1.3 1.5 1.8 2.5 2.5 3.2 2.2 2.4 2.7 3.4 2.7 3.4 3.8 3.9 5.1 6 7.6 6.9 9.1 11.2 10.8 11 10.4 11.5 12.8 13.3 13 15.3 15.2 15.1 16.9 17.7 19.4 22.2 26.3 27.8 33.9 36.8 40.9 46.6 56.9 71.8 104.5 99 124.6 152.6 177.4 212.8 248.6 267.8 250.5 272.7 336.3 343.3 370 414.8 452.1 484.5 508 500.7 544.9 592.8 676.7 757.6 808.3 885.1 930 1046.9 1244.9 1173.5
 1.1 1 0.8 0.6 0.4 0.5 0.5 0.6 0.8 0.7 0.7 0.7 1 1.9 2.8 3.1 3.7 1.9 2 2.5 2.4 2.5 3.4 4.5 5 5.1 5.7 6.1 6.7 7.1 7 7.6 7.6 8.1 8.4 8.7 9.3 10.7 12.2 12.6 13.7 14.9 15.8 17.3 19.3 22.9 23.7 26.5 29.8 34.8 39.9 45.3 49.9 52.6 56 68.8 73.9 82.2 93.1 101.1 105.2 120.6 121.6 119.8 125.7 135.4 145.2 154.8 170.7 186.7 193.7 221.9 206.6
 9.4 10 9.9 8.8 8.7 10.6 10.9 13.1 12.8 13.8 14.7 15.1 26.6 62.8 94.9 105.5 93.2 39.8 36.4 40.6 46.8 46.9 68.3 83.9 90.8 86.5 86.8 91.8 100.1 106.5 112.5 113.8 121.5 132.2 138.5 145.1 153.7 174.3 195.3 212.8 224.6 237.1 251 270.1 287.9 322.4 361.1 384.5 415.3 455.6 503.5 569.7 631.4 684.4 735.9 800.8 878.3 942.3 997.9 1036.9 1100.2 1181.4 1235.5 1270.5 1293 1327.9 1372 1421.9 1487.9 1538.5 1632.5 1741 1839.5
 1.7 1.8 1.8 1.8 2.3 3.2 3.3 5.5 5 5.6 5.9 6.4 17.9 54.1 86.5 97 84.2 29 22.6 24.2 27.6 26 45 59.2 64.4 57.3 54.9 56.7 61.3 63.9 67.4 65.9 69.5 76.9 78.5 79.8 82.1 94.4 106.8 114 116.1 116.4 117.6 125.6 127.8 138.2 152.1 160.6 176 191.9 211.6 245.3 281.8 312.8 344.4 376.4 413.4 438.7 460.4 462.6 482.6 508.4 527.4 534.5 527.3 521.1 521.5 531.6 538.2 539.2 564 590.2 615.7
 0.9 0.9 0.9 0.9 0.9 0.8 1 1.2 1.3 1.4 1.5 2.5 14.3 51.2 84.2 94.6 82.1 25.3 18.2 18.4 19.9 19.6 39.3 52.4 56 49.3 47 49.3 53.7 55.5 56 55.2 58.1 62.8 62.7 61.8 62.4 73.8 85.8 92.2 92.6 90.9 89 93.5 93.9 99.7 107.9 113.2 122.6 132 146.7 169.6 197.8 228.3 252.5 283.5 312.4 332.2 351.2 355.9 363.2 374.9 384.5 378.5 364.9 355.1 350.6 357 352.6 349.1 364.5 375.4 399
 0.8 0.8 0.9 0.9 1.4 2.4 2.3 4.2 3.7 4.2 4.4 3.9 3.6 2.9 2.2 2.4 2.1 3.6 4.3 5.8 7.8 6.4 5.8 6.8 8.4 8 7.9 7.4 7.6 8.4 11.4 10.7 11.3 14.1 15.8 18 19.7 20.7 21 21.8 23.5 25.5 28.6 32.2 33.9 38.5 44.2 47.4 53.5 59.8 65 75.6 84 84.5 92 92.8 101 106.5 109.3 106.8 119.3 133.6 142.9 156 162.4 165.9 170.9 174.6 185.6 190.1 199.5 214.8 216.6
 7.7 8.2 8.1 7 6.5 7.3 7.6 7.6 7.8 8.2 8.9 8.7 8.7 8.7 8.5 8.5 9 10.8 13.9 16.5 19.2 20.9 23.3 24.7 26.4 29.2 31.9 35.1 38.8 42.6 45.1 47.9 52 55.3 59.9 65.3 71.6 79.9 88.6 98.8 108.5 120.7 133.5 144.4 160.1 184.2 209 223.9 239.3 263.8 291.8 324.4 349.6 371.6 391.5 424.4 464.9 503.6 537.5 574.3 617.7 673 708.1 736 765.7 806.8 850.5 890.4 949.7 999.3 1068.5 1150.8 1223.8

