 1929 1930 1931 1932 1933 1934 1935 1936 1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1948 1949 1950 1951 1952 1953 1954 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000
 6.6 6.9 6.9 6.6 6.8 7.9 8.1 9 9.1 9.6 10.2 10.7 15.8 34.2 55.9 68.9 69.1 36.3 31.8 33.6 37.1 37.1 50.7 61.6 66.8 64 65.8 68.9 75.7 80 83.2 85.5 90.2 98.9 104.9 110.5 118.2 134 151.6 168.1 180.2 192.4 207 223.7 238.5 264.9 296.5 318.1 347.8 378.5 415 469.4 524.5 572.1 613.1 661.5 719.5 769.1 813.6 850.7 902.6 965.7 1015.2 1047.4 1072.1 1102.3 1133.9 1171.8 1223.3 1261.4 1328 1422.7
 1.5 1.5 1.5 1.4 1.6 2.3 2.1 4.2 3.8 4.4 4.7 4.8 9.4 27.1 48.2 61.1 60.9 27.1 20.8 21.2 23.3 22 34.4 44.2 48.3 44 43.9 45.1 49.5 50.9 52 51.5 53.2 59.5 62.4 64.2 67.4 77.2 88.3 97 100 100.4 103.7 109.9 111.6 120.4 131.2 138 151.3 164.3 180 209 239.9 265.3 288 312 339 358.3 374.6 382.8 399.6 419.9 439.1 445.8 442.6 439.7 439.2 445.3 456.9 453.1 469.6 493.7
 0.9 0.9 0.9 0.9 0.8 0.7 0.9 1 1 1 1.2 1.7 7.1 25.2 46.8 59.2 59.4 23.8 17.3 16.4 16.9 17.2 30.1 38.9 41.3 37.1 36.9 38.8 43.2 44.2 42.2 42.8 44.3 48.3 50.1 50.3 52.4 61.4 71.5 79 80.1 78.7 79.3 82.3 82.6 87.5 93.4 97.9 105.8 114.2 125.3 145.3 168.9 193.6 210.6 234.9 254.9 269.3 284.8 294.6 300.5 308.9 321.1 316.9 309.2 301.1 297.5 302.4 304.2 299.7 311.8 321.9
 0 0 0 0 0 0 0 0 0 0 0 0.1 1.4 7 12.8 13 12.7 -0.4 0.3 0.7 0.9 1.7 4.2 8 9.1 6.8 5.9 6 6.6 6.9 5.8 4.8 3.9 4.9 5 4.1 4.9 6.8 7.2 8.9 7.8 7.5 5.8 5.9 5.3 4.6 6.5 5.9 7.9 9.6 11.5 12.8 16.1 19.2 25 26.9 29.2 31.9 33.6 33.5 32 30.9 31.2 29 27.1 23.3 21 21 21.1 21.1 22.1 22.5
 0 0 0 0 0 0 0 0 0 0 0.1 0.1 1.4 7.1 13.1 13.5 13.6 0.5 0.3 0.8 1 1.7 4.4 8 9.1 6.8 6 6 6.7 7 6 5 4.1 5.1 5.2 4.4 5.2 7.4 7.4 9 7.9 7.6 5.9 6.2 6.1 5.9 6.7 6.1 8 9.7 11.5 13 16.4 19.7 25.1 27.1 29.3 31.9 33.8 33.5 32.1 31.6 31.2 29 27.2 23.3 21.1 21 21.2 21.1 22.2 22.6
 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0.3 0.5 0.9 0.9 0 0 0 0 0.1 0 0 0 0.1 0.1 0.1 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.4 0.7 0.2 0.1 0.1 0.1 0.1 0.4 0.8 1.2 0.2 0.1 0.2 0.1 0.1 0.2 0.3 0.6 0.1 0.2 0 0 0.1 0.1 0 0.8 0 0 0 0.1 0.1 0.1 0.1 0.1 0 0.1
 0.1 0.1 0.1 0.1 0.1 0 0.1 0.1 0 0.1 0.1 0.1 0.6 5.2 8.7 9.7 7.3 0.7 0.3 0.7 0.8 0.9 2.3 2.7 4.2 3.2 1.6 1.7 2.1 2.1 2.3 2.5 2.9 3.6 3.3 3.6 3.4 4.7 7.3 8.4 7.6 5.3 4.4 4.8 4.4 5.3 5.1 4.5 4.6 4.9 6.3 10.1 12 11.6 11.3 10.5 10 10.3 10.3 10.6 10.8 11 10.7 9.5 8.4 7.6 6.3 7.7 7.5 6.9 8.1 10.4
 0.1 0.1 0.1 0.1 0.1 0 0.1 0.1 0 0.1 0.1 0.1 0.6 5.2 8.7 9.7 7.3 0.7 0.3 0.7 0.8 0.9 2.3 2.7 4.2 3.2 1.6 1.7 2.1 2.1 2.3 2.5 2.9 3.6 3.3 3.6 3.4 4.7 7.3 8.4 7.6 5.3 4.4 4.8 4.4 5.3 5.1 4.5 4.6 4.9 6.3 10.1 12 11.6 11.3 10.5 10 10.3 10.3 10.6 10.8 11 10.7 9.5 8.4 7.6 6.3 7.7 7.5 6.9 8.1 10.4
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0.8 0.8 0.8 0.8 0.7 0.7 0.8 0.9 0.9 1 1.1 1.5 5.1 13 25.4 36.5 39.5 23.5 16.7 14.9 15.2 14.7 23.6 28.2 28 27.2 29.4 31.2 34.6 35.2 34.1 35.6 37.4 39.7 41.7 42.6 44.1 50 57 61.7 64.7 65.8 69 71.7 73 77.5 81.9 87.5 93.4 99.7 107.5 122.4 140.9 162.9 174.2 197.5 215.7 227.2 240.8 250.6 257.7 267 279.2 278.5 273.6 270.2 270.2 273.7 275.6 271.7 281.6 289
 0.8 0.8 0.8 0.8 0.7 0.7 0.8 0.9 0.9 1 1.1 1.5 5.1 13.1 26 37.5 41.3 25.2 16.7 15 15.2 14.7 23.9 28.3 28 27.2 29.6 31.3 34.8 35.5 34.2 35.6 37.5 39.8 41.8 42.6 44.1 50 57.1 61.8 64.8 65.9 69 71.8 73 77.6 82.5 87.5 93.6 100 107.8 122.9 141.5 163.4 174.5 197.9 216.2 227.8 241.4 251.4 258.4 267.7 280.1 279.1 274.2 271.3 271.8 275.6 277 272.8 282.5 290.3
 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2 0.6 1 1.7 1.7 0 0.1 0 0 0.2 0 0 0 0.2 0.2 0.2 0.3 0.1 0.1 0.1 0.1 0 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.7 0.1 0.2 0.3 0.3 0.5 0.6 0.5 0.3 0.5 0.6 0.6 0.6 0.9 0.7 0.7 1 0.6 0.6 1.1 1.6 1.8 1.4 1.1 0.9 1.3
