  1929 1930 1931 1932 1933 1934 1935 1936 1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1948 1949 1950 1951 1952 1953 1954 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001
 19.2 14.9 8.2 3.1 3.1 6.2 9.5 11.3 16.1 11.6 13.5 18.3 29.7 39.8 44.8 39.8 29.6 38.9 46.8 58.3 45.6 60.3 74.8 73.8 74.6 72.7 87.4 98.6 99 90.1 105.8 110.9 113.9 124.6 132.8 143 158.1 169.1 171.1 183.3 199.8 194.3 211.4 241.6 294.6 304 298.4 342.7 398.2 481.6 544.9 555.5 656.5 625.7 608 769.4 772.5 735.9 810.4 936.2 967.6 977.7 1015.8 1007.4 1039.4 1155.9 1257.5 1349.3 1502.3 1647.2 1707.4 1785.7 1740.8
 15.7 12.4 8.5 3 2.8 6.2 9.2 11.1 12.5 9.7 12.1 15.2 23.6 43.5 51.3 56.3 46.9 31.6 29.5 43.8 41.1 45.6 54 57.6 58.9 60 66.5 73.9 78 78.8 84.2 84.4 91.5 100.4 104.3 117.6 129.4 138.5 150.8 153.7 157 174.3 202.6 217 256.4 270.7 323.5 344 383.1 439.1 487.8 537.8 631.7 681.6 693.8 824.8 833.4 806.5 838.3 943 955.1 1016.2 1098.9 1164.6 1159.4 1199.3 1266 1290.4 1343.7 1375 1348 1323 1380.5
 3.9 3.2 2.6 -0.4 -0.7 0.6 2.6 4.3 4.5 1.5 3.4 4.5 11.7 29 34.9 39 31.4 16.3 8.1 14.1 10 15.2 19.7 20.6 21.3 19.8 19.5 25.4 26.8 28.2 26.5 26.4 31.9 33.5 33.1 40.5 42.7 44.5 54 52.7 52.6 69.5 80.1 76.9 102.5 114.3 125.2 122.1 125.6 145.4 165.8 205.6 243.7 262.2 227.8 306.5 282.6 267.8 252.8 292.3 301.8 334.3 371.7 413.7 350.8 315.5 302.4 272.1 252.9 301.5 160.9 67.7 118.4
 3.4 1 -1.8 -3.3 -2.9 -1 0 0 0.6 0.4 1 2.6 2.9 4.4 6 7 4.8 2.7 5.9 11.4 11.1 8.6 9.3 10.4 9.5 11 16 14.1 13.8 11.9 17.5 16.3 16.8 22.6 25.2 28.6 34.9 37.6 35.4 33.6 29.8 23 32.4 41.1 44.8 29.5 49.1 57.3 73.1 82.9 77 49.6 64.1 61.9 93.2 124.7 128.3 88 107.3 138.3 99.2 102.4 119.2 124.4 142 151.6 203.6 232.7 261.3 189.9 228.7 225.3 134.5
 3.4 -2 -4.2 -4.4 -0.8 -0.2 0.4 1 1.3 0.2 2.4 3.6 6.3 6.4 7 6.9 4.7 10.3 14.4 16.4 12.2 16.5 13.7 12.3 12.5 12.4 17.4 17.2 15.9 12.4 17.5 15.5 14.8 17.9 19.5 22.7 28.9 32.1 29.1 29.3 27.2 21.9 29.7 38.6 55 61.8 60.9 75.4 91.2 110.6 124.6 102.6 86 56.2 70.5 81 61 30.6 75.3 115.2 80.2 95.3 104.1 122.9 141.9 151.8 203.3 205 220 133.6 179.8 194.3 65.9
 0.5 3.3 2.4 1 -2.1 -0.6 -0.2 -0.7 0 1 -0.7 -0.2 -2.5 -1.2 -0.8 -0.3 -0.6 -5.3 -5.9 -2.2 1.9 -5 -1.2 1 -1 -0.3 -1.7 -2.7 -1.5 -0.3 -0.3 -0.2 0.3 0 0.1 -0.5 -1.2 -2.1 -1.6 -3.7 -5.9 -6.6 -4.6 -6.6 -19.6 -38.2 -10.5 -14.1 -15.7 -23.7 -40.1 -42.1 -24.6 -7.5 -7.4 -4 0 7.1 -16.2 -22.2 -16.3 -12.9 4.9 -2.8 -4 -12.4 -18.3 3.1 8.4 18.3 -2.9 -12.4 2.2
 -0.5 -0.3 0 0 0.1 -0.2 -0.2 -0.3 -0.7 -0.8 -0.7 -0.8 -0.9 -0.8 -0.3 0.4 0.7 -2.3 -2.5 -2.9 -2.9 -2.9 -3.2 -2.8 -2 -1.1 0.3 -0.4 -0.5 -0.3 0.3 1 1.7 4.6 5.6 6.4 7.2 7.6 7.9 8 8.5 7.6 7.3 9 9.4 5.9 -1.2 -4 -2.4 -4 -7.4 -10.8 2.7 13.3 30.2 47.7 67.2 50.3 48.2 45.3 35.3 19.9 10.2 4.3 4.1 12.2 18.6 24.6 32.9 38 51.7 43.4 66.4
 5 4.9 4.6 4.1 3.8 4 4 4.1 4.5 4.7 4.6 4.8 5.4 6.2 6.1 6.1 6.2 7.5 8.9 10.4 11.4 12.2 14 14.9 15.8 16.6 17.6 19.8 21.9 22.8 23.7 24.7 25.2 26.2 27.2 28.7 30.8 33.7 37.1 41.1 45.6 50.5 55.4 60.9 66.8 78.5 94 104.5 117.5 134.5 156.4 181.1 210.1 233.4 244.4 260.2 280.9 302.1 320.8 344.3 370.6 391.1 411.2 427.9 448.5 482.7 512.1 543.5 581.5 620.2 669.2 727.1 798.6
 3.4 3.4 3.1 2.6 2.5 2.6 2.6 2.7 3 3.1 3.1 3.2 3.6 4 4.1 4.3 4.5 5.2 6.7 7.9 8.7 9.5 10.9 11.7 12.2 12.7 13.4 14.6 15.4 16 16.5 17.1 17.6 18.1 18.7 19.7 21 22.6 24.3 26.4 29 31.4 34.4 38.5 42.3 48.4 55.2 60 66.9 76.2 88.5 101.5 113.7 124 128.3 133.4 141.7 148.7 157.4 168.1 183.4 188.4 196.8 214.3 211.6 231.9 231.5 238.5 250.9 264.2 284.1 302.8 329
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.2 -0.2 0 0 0 0 0 0 0 -0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.4 -0.3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -15.8 6.4 17.6 16.4 3.6 -2.9 -0.7 5.2 0 0
 3.5 2.5 -0.2 0.1 0.4 0.1 0.3 0.3 3.5 2 1.3 3.1 6.1 -3.7 -6.4 -16.4 -17.3 7.3 17.3 14.4 4.5 14.7 20.8 16.2 15.7 12.7 20.9 24.7 21.1 11.3 21.6 26.5 22.5 24.2 28.5 25.5 28.8 30.7 20.3 29.6 42.8 20 8.8 24.6 38.2 33.3 -25.1 -1.3 15.1 42.5 57.1 17.7 24.8 -55.9 -85.7 -55.4 -60.9 -70.5 -27.9 -6.7 12.5 -38.6 -83.2 -157.2 -120 -43.4 -8.5 58.9 158.6 272.2 359.4 462.7 360.3
 1.3 0.4 -1.9 -1.2 -0.7 -1.9 -1.6 -2.9 0.6 -0.9 -1.7 0.1 3 -6.6 -9.3 -19.4 -20.2 4.3 14.1 11.2 1 11.4 15.8 10.6 9.5 6.6 14.4 16.8 13.1 4.5 13.6 17.8 13.5 14 17.5 13.4 16 16.1 5.8 13.8 25.5 2.3 -9.5 -3.8 8.3 6.4 -47.7 -29.9 -20.6 -0.6 16.6 -22.8 -18.9 -93.1 -131.5 -121.6 -127.9 -139.2 -91.6 -77.2 -65.6 -104.3 -142.3 -222.2 -195.4 -130.9 -108 -51.5 33.4 132 210.9 315 218.6
 0.2 0.2 0.2 0.2 0.2 0.2 0.3 0.3 0.3 0.4 0.4 0.4 0.8 2.1 4.8 7.6 8.8 9.4 8.8 7.6 6.6 5.9 6.1 6.9 7.7 8.3 8.7 9.3 9.9 10 10.4 10.7 11 11.6 12.3 12.5 12.8 13.3 14.2 15.1 15.9 16.7 17.4 18.7 19.5 20.2 21.6 23.2 24.6 26.3 28 30.9 34.7 39.5 42.4 46.4 49.3 52.9 56.3 60.2 64.4 68.7 73 75.4 78.7 81.4 84 85.3 86.8 88.2 91.7 96.4 99.6
 1.1 0.2 -2.1 -1.3 -0.9 -2.2 -1.9 -3.2 0.2 -1.3 -2.1 -0.3 2.2 -8.7 -14.1 -27 -29.1 -5.1 5.2 3.5 -5.7 5.5 9.6 3.7 1.8 -1.7 5.7 7.5 3.2 -5.5 3.2 7.1 2.5 2.4 5.2 0.8 3.2 2.7 -8.3 -1.3 9.6 -14.4 -26.8 -22.5 -11.2 -13.9 -69.3 -53 -45.2 -26.9 -11.4 -53.8 -53.7 -132.6 -173.9 -168.1 -177.1 -192.1 -147.9 -137.4 -130 -173 -215.3 -297.5 -274.1 -212.3 -192 -136.8 -53.3 43.8 119.2 218.6 119
 2.2 2.1 1.7 1.3 1.1 2 1.9 3.2 3 2.9 3 3 3.1 2.9 2.9 3 2.9 3 3.2 3.3 3.5 3.4 5.1 5.7 6.3 6.1 6.5 7.9 8 6.8 8 8.7 9 10.2 11 12.1 12.7 14.6 14.5 15.8 17.3 17.6 18.2 28.4 30 27 22.7 28.6 35.7 43.1 40.5 40.6 43.8 37.2 45.7 66.2 67 68.7 63.7 70.5 78.1 65.7 59.1 65 75.4 87.5 99.4 110.4 125.1 140.2 148.5 147.8 141.8
 0.7 0.7 0.7 0.6 0.7 0.8 0.8 0.9 1 1 1 1.1 1.2 1.4 1.5 1.4 1.4 1.5 1.8 2.1 2.1 2.1 2.6 2.7 2.8 2.9 3.1 3.5 3.9 4 4.2 4.4 4.7 5 5.4 5.7 6.2 6.9 7.5 8.3 9.3 10.6 11.8 12.9 14.3 17.7 20.2 21.3 22.6 24.4 27.4 31.7 36.3 39.5 40.9 42.4 44.7 47.9 51.5 54.9 58.8 63.1 66.9 69.9 73.9 78.9 84.1 88.9 94.2 99.5 106.4 114.9 124.2
