 1929 1930 1931 1932 1933 1934 1935 1936 1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1948 1949 1950 1951 1952 1953 1954 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997
 8.1 -4.8 -8.7 -20.8 -11 -5.9 8.1 6.1 13.6 -2 0.7 15.5 24.6 10 -4.3 -3.5 -8.8 24.5 -4.7 20.6 -10.1 17.7 24.7 10.8 6.6 -6.2 14.6 10.8 3 0 12.1 10.9 9.5 19.6 18.4 15.1 30.6 42.8 31.7 28.4 27.4 4.4 23.9 23.7 35.6 25 -9.4 32.5 40.8 44.1 26.1 -10.5 37.9 -15.6 -9.7 76.1 27.1 9.6 29.6 18.4 29.6 16.5 -1 17.1 20 66.8 30.4 30 63.8
 -1.1 -2 3.4 0.8 -1.1 -5.8 4.6 -6.1 5 3.3 -1.6 3.1 1.8 5.5 -1.6 -1 -3.9 -0.6 -4.9 6.9 -2.1 -0.6 1.5 3.2 2 0.3 -1.9 -3.2 0.7 5.7 -4.7 1.8 2.2 1.3 1.3 -4.2 2.7 -1.6 2.9 3.9 -0.1 -3 4.3 0.2 0.9 -5.3 6.8 -0.8 7.6 3.1 4 -8.2 10.6 8.4 -18.9 7.5 8.3 -1.4 -9.8 -14.2 0.1 2.6 -2.3 6.1 -7.9 13 -12.3 7.9 3.2
 9.7 -2.2 -12.3 -19.4 -8.6 0.9 2.2 14.2 7.2 -5.5 2.5 11.4 22.3 2.7 -2.1 -2.3 -3.5 29.1 4 11.4 -7.9 20.9 26 6.8 4.1 -6.9 17.1 14.3 2.2 -7.1 18.1 8.8 7 18.4 17.1 20 27.7 45.8 28.8 24.1 28.2 8.3 19.1 24.7 37.3 35.4 -19.4 34.6 32.5 41.7 21.7 0.3 25.9 -24.6 11.1 68.7 18.6 10.8 38.7 33.7 29.9 13.8 1.4 10.7 28.6 53.6 42.6 22.1 60.6
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  1.6 4 -5.2 6.5 22 5.3 3.5 -7.3 7.2 10.2 -0.9 -5.3 7.7 2 4.5 10.2 6.3 9.5 12.7 25.8 17.3 10.8 11.4 0 -3.1 7 19.4 21.2 -7.6 14.1 8.7 14.6 12.8 0.4 4.6 -15.7 -0.4 29.1 -6.4 -3.8 8.5 17 14.2 8.9 -6.8 -4.7 3.6 12.1 14.1 10.1 15.2
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  0.3 -0.7 -4.7 4.7 15.6 4.6 3.4 -6.6 4.1 6.7 0.1 -4.9 4.5 0.5 1.2 5.9 3.8 7.1 9.8 19.1 11.8 5.7 8.4 -1.4 -5 5.6 17.7 12.9 -8.4 8 4.2 12.6 13.1 0 1.8 -12.5 -2.2 22 -5.7 -5.2 5.2 12 10.1 4.8 -9.2 -7.8 3.7 8.9 10.7 9.5 9.5
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  1.2 4.3 -0.7 1.9 6.7 0.8 0.1 -0.7 3.1 3.5 -1.1 -0.1 3.2 1.7 3.7 4.4 2.5 2.2 2.4 6.1 5.2 5.4 2.7 1.7 2.7 1.1 0.5 8.3 1.2 6.2 4.6 1.4 -1.2 0.4 2.9 -2.7 2.1 6.3 -0.2 2 3.3 4.6 3.8 4.2 3.2 3.8 -0.2 3 3.3 0.6 5.8
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  -0.2 2.4 0.2 4.4 1 1.2 0.4 0.7 3.3 1.6 -0.5 0 5.7 1.6 1.5 2.6 5 4.2 5 10.5 7.2 3.5 7.3 8.3 6.4 5.9 3.8 11.7 -6 9.3 11.7 13.2 8.2 5.4 5.2 -1.8 0.5 17.4 7.5 9.2 8 9.9 4.7 9.1 5.1 8.9 6.9 17.1 14.3 3.1 25.4
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  0.2 1.9 -0.3 2.4 1.6 -0.8 0.1 -0.1 2 -0.1 0.1 -0.1 3 1.6 0.7 2.3 2.2 2.8 3.5 6.9 3.6 2.3 4.8 3.9 4.8 5.2 4.9 7.8 -2.6 5.6 6.6 10.6 5.3 4.4 4.5 -2.7 -1.2 12.5 2.3 4.5 4.8 6.3 2.6 4 0.9 3.6 4.5 12.7 13.2 4.2 16.5
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  -0.3 0.7 0.4 2 -0.4 1.8 0.3 0.8 1.4 1.7 -0.7 0.1 2.7 -0.1 0.8 0.3 2.8 1.4 1.5 3.5 3.5 1.1 2.4 4.6 1.4 0.4 -1 4 -3.4 3.6 5.1 2.4 2.9 1 0.9 0.8 1.7 4.7 5.4 4.9 3.2 3.5 2 5.2 4.5 5.5 2.4 4.2 0.9 -1 8.9
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  4.8 0.9 0.6 1.3 4 3.8 4.5 8.8 5.3 2.6 5.9 7.9 6.8 5.5 2.7 9.7 -6.3 7.7 11.7 13.8 7.3 6.8 3.7 -1.3 0.9 15.6 8.7 9 8.6 8.6 3.9 8.2 5.2 9.1 6.8 15.2 11.5 2.4 23.3
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  2.5 1.1 0.3 1.3 1.5 2.6 3 5.8 2.5 1.9 3.9 3.9 5.3 4.8 3.9 6.8 -2.8 4 7.3 10 4.4 5 3.2 -2.3 -0.8 11.4 2.9 4.7 5 5.4 2.2 3.7 1.1 4.4 4.1 11.2 11 3.5 15.2
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  2.3 -0.2 0.4 -0.1 2.5 1.2 1.4 3 2.8 0.6 2 3.9 1.3 0.5 -1 2.9 -3.3 3.7 4.4 3.7 2.8 1.8 0.5 1.1 1.8 4 6.1 4.5 3.7 3.2 1.7 4.6 4.4 4.9 2.7 3.9 0.3 -1.1 8.1
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  1 0.6 0.8 1.3 1 0.4 0.5 1.7 1.8 0.9 1.3 0.4 -0.5 0.3 1.1 2 0.3 1.5 -0.1 -0.6 0.9 -1.2 1.5 -0.5 -0.4 1.9 -1 0.3 -0.6 1.3 0.8 0.9 -0.1 -0.2 0.1 1.9 2.9 0.7 2.1
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  0.6 0.5 0.4 0.9 0.7 0.2 0.5 1.2 1.1 0.4 0.9 -0.1 -0.5 0.5 0.9 1 0.3 1.6 -0.7 0.7 0.8 -0.6 1.2 -0.4 -0.3 1.2 -0.5 -0.1 -0.2 0.9 0.5 0.3 -0.2 -0.7 0.3 1.5 2.2 0.7 1.3
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  0.4 0.1 0.4 0.4 0.3 0.2 0 0.5 0.7 0.5 0.4 0.5 0.1 -0.2 0.1 1 0 -0.1 0.7 -1.3 0.2 -0.6 0.3 -0.2 0 0.7 -0.5 0.4 -0.5 0.3 0.3 0.6 0.2 0.6 -0.3 0.3 0.6 0.1 0.8
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  1.7 4.5 -1.2 7.4 0.3 -0.1 1.4 0.1 6.3 0.2 2.5 -1.2 3.3 4.3 -1.3 4.7 3.8 4 7.8 7 0 7.9 7 0.1 14.7 9.5 10.7 -2.1 -7 10.4 8.3 10.2 0 -4.6 8.9 -3.8 13.4 21.7 15.4 3.4 21.2 7.6 14.5 -1.6 0.5 4.6 15.4 20.5 12.2 7.4 11.3
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  3.1 2.9 -1.1 5 0.8 -0.6 1.3 -0.9 3.9 -1.1 2.3 -2.3 1.1 3.1 -2.9 2 2.1 1.6 5.4 3.9 -2.1 6.2 3.8 -2.8 10.3 5.8 8.3 1 -3.3 7.1 6.5 5.9 -0.4 -8 3 -3.7 7.8 11.3 10.8 0.1 16.3 5.5 7.4 -1.3 -5.1 1.3 9.6 13.9 9.4 5 6.5
 NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  0.5 3.5 -2.2 1.7 2 0.2 5.5 2.3 -3.1 5 2.4 -3.9 9.1 1 6.8 0.2 -3.6 4.1 6.1 3.4 0.1 -7.9 0.3 -2.7 4.7 7.1 8.1 -1.6 11.8 2.1 5 -1.6 -4.2 1.5 4.1 7.7 5.8 2.6 4.3
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  0.5 0 -0.9 0.5 0.3 1.2 0.5 1.7 0.5 1.6 1.5 0.6 1.9 4.4 2 0.7 -0.1 3 0.8 2.6 -0.4 -0.8 2.5 -1.1 3.3 4.3 3 1.6 4.8 3.3 2.5 0.3 -1 -0.1 5.4 6.2 3.6 2.4 2.2
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  -0.8 1.7 -0.2 2.6 -0.4 0.4 0.2 0.9 2.4 1.3 0.3 1.1 2.2 1.2 1.5 2.6 1.7 2.4 2.5 3.1 1.9 1.9 3.2 2.7 4.5 3.8 2.7 -2.8 -3.6 3.5 2 4.3 0.3 3.1 5.8 -0.2 5.6 10.5 4.7 3.3 5 2.2 7.1 -0.3 5.4 3.3 5.9 6.6 2.8 2.4 4.8
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  1.1 -0.4 -2.1 2.4 2.2 0.2 -2.3 0.1 -0.9 2.2 1.5 0 1.3 0.9 3 -0.1 2.2 2.1 1.5 1 4.6 1.2 2.3 0.5 1.7 2.4 2.7 3.5 1.5 0.6 4.5 3.9 0 -1.2 7.6 -2.3 -0.9 1.1 4.1 2.8 2 -1.2 -3.6 -3 3 2.3 2.8 4 2 1.5 8.7
  NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN  0.3 0.2 1 0.3 0 0.2 0.4 -0.3 0.5 -1 0 -0.2 -0.8 0.4 1.2 0.1 -0.2 -0.1 0.2 0.9 0 -0.3 0.2 0.9 -0.8 0.1 -0.4 -0.8 0.3 -0.3 0.5 0 -0.4 0.5 0.3 0.6 0 0.4 0.9
