 1997 1998 1999 2000 2001
 63.8 76.7 62.1 50.6 -61.7
 3.2 1.6 -1.9 -2 -2.6
 2.8 5.5 -0.6 -1.8 3
 14.8 27.2 13.3 13.1 -35.4
 9.4 21.1 6.2 12.7 -28
 5.3 6 7 0.6 -7.5
 23.8 24 19.1 21.2 -12.5
 15.5 18.5 13.6 14.2 -17
 8.3 5.4 5.5 7 3.6
 12 14.5 24.5 14.9 -16.9
 4.8 2.2 12.5 6 -13.7
 0.3 1.1 1.6 -0.2 0.4
 0.3 0.8 2.7 1.1 0.3
 6.4 10.3 7.8 8.1 -4.1
 6.8 4.2 6.8 5.5 1.4
 0.7 0 0.9 -0.6 2.5
 63.8 76.7 62.1 50.6 -61.7
 31.6 46.5 37.5 36 -58.6
 31.6 29.6 24.6 15.1 -4.6
 60.6 75 63.5 52.3 -59
 23.8 24 19.1 21.2 -12.5
 21.8 21.1 17.1 16.6 -9.1
 14.2 16.2 12.3 9.9 -13.9
 7.6 4.9 4.8 6.6 4
 2.1 2.9 2 4.5 -3.3

