 1948 1949 1950 1951 1952 1953 1954 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987
 48029 46769 48527 52537 53673 54612 52782 53988 55303 55724 53919 55574 56581 56479 58034 58907 60208 62633 66071 67992 69859 71718 71225 70846 72674 76034 77142 75376 77712 80417 84520 87310 87231 87994 86215 86773 91202 93700 95416 98178
 48022 46784 48531 52592 53741 54690 52909 54126 55445 55857 54047 55708 56724 56604 58125 58979 60271 62654 66086 68007 69875 71740 71245 70865 72695 76058 77163 75401 77737 80440 84548 87332 87255 88056 86279 86843 91275 93772 95483 98244
 41278 39577 41099 43325 43698 44677 43054 44381 45605 45822 43970 45365 46103 45621 46734 47380 48332 50338 52793 54001 55419 57024 56554 56206 58018 61172 62005 59937 62195 64770 68539 71188 70967 71891 70108 70788 75011 77155 78528 81007
 2072 2000 2067 1999 1933 1882 1902 1847 1769 1747 1780 1771 1755 1763 1723 1677 1552 1476 1382 1314 1298 1274 1280 1276 1293 1368 1458 1440 1532 1490 1496 1546 1593 1582 1523 1636 1565 1484 1477 1564
 1940 1869 1933 1856 1786 1742 1762 1707 1626 1604 1639 1631 1604 1602 1551 1498 1361 1270 1168 1088 1063 1032 1041 1034 1032 1070 1146 1152 1206 1141 1081 1088 1116 1076 1022 1106 995 863 816 826
 132 131 134 143 147 140 140 140 143 143 141 140 151 161 172 179 191 206 214 226 235 242 239 242 261 298 312 288 326 349 415 458 477 506 501 530 570 621 661 738
 993 923 924 937 914 872 794 798 837 833 742 710 692 657 640 623 619 624 621 604 599 611 615 602 612 626 685 739 767 811 864 937 1020 1137 1106 935 954 910 760 699
 100 94 96 102 103 107 101 105 112 113 92 83 95 89 84 81 81 85 88 80 83 91 95 89 86 88 96 93 93 92 93 100 99 103 73 57 55 46 42 44
 533 475 469 441 397 342 267 249 261 255 215 190 177 157 150 145 142 140 137 137 131 133 143 145 158 158 176 211 225 236 231 251 248 233 237 189 195 186 172 157
 263 257 260 287 305 312 316 329 342 344 318 318 303 296 292 283 282 280 276 270 270 274 264 256 258 266 296 320 335 368 421 462 551 685 689 585 597 570 439 390
 97 97 99 107 109 111 110 115 122 121 117 119 117 115 114 114 114 119 120 117 115 113 113 112 110 114 117 115 114 115 119 124 122 116 107 104 107 108 107 108
 2321 2194 2411 2668 2683 2643 2611 2734 2853 2801 2705 2838 2805 2777 2855 2939 3049 3221 3327 3301 3418 3562 3481 3538 3739 4011 3928 3442 3510 3772 4206 4459 4231 4074 3751 3802 4281 4592 4768 4854
 15521 14368 15110 16252 16482 17241 15999 16490 16774 16745 15291 16060 16189 15772 16360 16484 16722 17624 18852 19068 19386 19789 18906 18087 18571 19605 19538 17783 18546 19245 20091 20610 19812 19748 18266 17962 18920 18781 18488 18590
 8343 7494 8087 9090 9391 10047 9088 9487 9741 9731 8588 9160 9246 8908 9358 9473 9650 10289 11224 11332 11510 11786 11064 10445 10824 11666 11729 10488 10916 11450 12142 12613 12015 11955 10849 10566 11362 11325 11051 11023
 862 752 817 866 807 778 710 750 742 669 623 667 647 601 612 619 641 658 670 653 669 686 672 695 719 744 702 598 666 708 746 758 672 645 576 637 692 685 690 733
 334 310 357 348 349 356 329 354 362 361 337 358 357 341 361 364 379 404 437 429 444 453 422 420 460 490 470 398 433 453 480 481 450 449 413 443 474 476 486 502
 556 517 549 586 565 576 548 578 592 582 547 587 592 570 580 590 603 622 640 625 631 653 633 622 646 682 672 619 634 654 692 703 654 633 560 556 585 577 573 575
 1231 1084 1185 1295 1225 1306 1164 1266 1300 1294 1082 1113 1150 1077 1101 1110 1159 1234 1278 1250 1248 1283 1243 1154 1165 1250 1271 1118 1137 1175 1212 1242 1135 1110 898 817 847 796 739 732
 1085 983 1083 1191 1215 1321 1199 1261 1283 1298 1146 1206 1218 1180 1242 1260 1291 1376 1498 1542 1592 1651 1533 1443 1493 1608 1598 1430 1490 1550 1635 1680 1583 1562 1398 1342 1438 1439 1398 1376
 1384 1189 1215 1468 1545 1567 1413 1439 1550 1555 1328 1433 1448 1399 1477 1515 1588 1732 1912 1957 1949 2009 1956 1785 1866 2056 2196 2026 2051 2151 2307 2467 2449 2468 2210 1998 2169 2152 2016 1992
 975 839 961 1085 1169 1300 1169 1214 1286 1309 1185 1346 1419 1429 1531 1505 1480 1590 1836 1887 1903 1955 1843 1705 1757 1940 1950 1677 1754 1854 1991 2100 2076 2078 1989 1995 2181 2165 2093 2048
 757 733 797 835 778 899 765 874 784 755 596 666 699 628 686 729 748 828 863 816 870 906 797 831 870 953 897 776 868 943 1000 994 794 793 702 750 847 872 863 844
 472 458 452 696 998 1143 1034 987 1051 1122 1009 1014 936 920 980 990 965 998 1170 1238 1247 1211 1027 893 914 947 952 904 898 923 992 1070 1094 1098 1022 979 1041 1094 1142 1179
 271 248 271 320 349 381 360 365 388 401 375 395 402 394 405 409 407 436 491 511 529 545 524 489 515 556 579 539 565 607 643 678 696 715 705 685 700 708 690 676
 416 381 400 400 391 420 397 399 403 385 360 375 378 369 383 382 389 411 429 424 428 434 414 408 419 440 442 403 420 432 444 440 412 404 376 364 388 361 361 366
 7178 6874 7023 7162 7091 7194 6911 7003 7033 7014 6703 6900 6943 6864 7002 7011 7072 7335 7628 7736 7876 8003 7842 7642 7747 7939 7809 7295 7630 7795 7949 7997 7797 7793 7417 7396 7558 7456 7437 7567
 1783 1753 1751 1781 1765 1756 1720 1707 1711 1704 1639 1653 1673 1656 1649 1637 1640 1666 1688 1707 1705 1718 1713 1675 1652 1648 1638 1592 1615 1636 1658 1664 1630 1613 1568 1538 1536 1527 1538 1555
 99 101 96 104 103 103 101 99 95 92 90 90 90 87 87 86 88 86 83 84 82 79 79 74 74 76 77 71 70 68 67 68 66 68 66 64 62 62 57 54
 1329 1186 1243 1220 1139 1130 1017 1022 997 954 886 914 891 861 874 861 862 902 942 944 975 985 946 935 970 1004 952 825 888 888 883 866 822 797 717 722 724 680 688 712
 1196 1167 1183 1182 1187 1205 1138 1162 1157 1145 1086 1144 1156 1134 1184 1197 1214 1274 1329 1327 1339 1347 1292 1268 1312 1351 1274 1168 1259 1258 1278 1245 1208 1195 1096 1104 1139 1067 1050 1060
 470 451 482 504 497 523 522 537 554 555 542 567 576 582 598 605 607 628 656 672 681 705 694 669 674 689 688 628 662 679 690 697 681 679 650 651 667 666 663 673
 720 717 723 737 739 754 758 768 782 803 791 807 833 840 853 856 874 907 946 979 996 1016 1021 982 988 1016 1020 991 1007 1047 1093 1145 1152 1173 1168 1200 1266 1319 1350 1392
 633 599 617 687 708 746 729 745 773 793 758 778 793 792 804 819 831 870 926 966 994 1023 1010 975 964 992 1015 1009 1040 1068 1088 1104 1100 1102 1071 1037 1038 1032 1008 1009
 220 214 216 227 231 235 232 231 229 232 219 209 202 194 189 185 180 178 179 179 183 186 187 186 183 184 189 187 193 198 200 201 197 204 190 185 178 170 162 159
 322 297 320 345 346 366 337 365 373 377 351 382 384 377 422 431 444 483 527 534 573 613 593 592 642 693 689 585 637 702 738 766 708 724 676 694 765 770 776 810
 406 389 392 375 376 376 357 367 362 359 341 356 345 341 342 334 332 341 352 344 348 331 307 286 288 286 267 239 259 251 254 241 233 238 215 201 183 163 145 143
 4121 3939 3972 4170 4182 4228 4025 4087 4195 4182 3908 3897 3914 3808 3807 3795 3827 3926 4063 4145 4209 4303 4341 4296 4339 4475 4524 4357 4373 4495 4696 4890 4891 4932 4843 4754 4923 4982 5006 5124
 2854 2662 2710 2868 2849 2856 2654 2699 2755 2717 2481 2504 2507 2412 2418 2407 2421 2472 2556 2593 2633 2650 2608 2553 2566 2659 2684 2547 2573 2663 2793 2898 2846 2820 2677 2636 2802 2874 2918 3039
 1503 1349 1373 1432 1382 1359 1205 1196 1183 1117 952 917 881 807 788 763 746 730 719 689 661 637 620 589 567 565 574 541 524 523 519 530 513 482 413 349 348 324 297 276
 388 373 354 350 344 335 314 295 288 287 273 266 268 264 260 257 254 257 262 269 272 268 267 265 258 255 256 251 247 245 245 252 253 252 250 253 264 272 282 292
 515 518 575 635 661 701 695 748 796 802 781 832 851 839 869 883 898 946 991 1001 1035 1068 1052 1059 1094 1162 1168 1080 1113 1179 1259 1299 1237 1226 1171 1185 1285 1328 1355 1426
 254 235 225 251 245 238 221 231 240 249 218 222 222 215 212 210 216 214 227 229 228 213 205 187 189 191 193 184 183 184 198 198 201 208 194 181 183 177 169 166
 89 87 86 95 108 114 116 125 144 160 160 167 183 186 188 192 202 218 244 285 316 337 335 324 328 348 349 346 351 365 385 418 430 431 421 429 461 490 527 572
 30 29 27 28 29 28 27 26 26 26 25 24 23 22 21 20 19 19 18 18 18 18 17 17 17 16 16 17 18 18 20 20 22 22 21 21 19 19 18 18
 75 71 70 77 80 81 76 78 78 76 72 76 79 79 80 82 86 88 95 102 103 109 112 112 113 122 128 128 137 149 167 181 190 199 207 218 242 264 270 289
 739 736 717 747 773 801 799 811 857 876 826 799 807 796 792 791 808 844 890 924 936 1002 1066 1065 1080 1105 1119 1099 1086 1103 1146 1207 1241 1280 1311 1256 1246 1218 1192 1183
 692 686 664 689 713 737 729 739 782 798 747 718 723 710 705 702 716 747 788 816 824 885 948 943 953 974 983 958 940 949 981 1034 1059 1088 1109 1048 1032 1000 973 966
 47 50 53 58 60 64 70 72 75 78 79 81 84 86 87 89 92 97 102 108 112 117 118 122 127 131 136 141 146 154 165 173 182 192 202 208 214 218 219 217
 528 541 545 555 560 571 572 577 583 589 601 594 600 600 597 597 598 610 617 628 640 651 667 678 693 711 721 711 714 729 757 785 804 832 855 862 875 890 896 902
 2586 2528 2559 2715 2784 2830 2821 2891 3031 3041 3017 3069 3132 3130 3161 3193 3268 3372 3501 3585 3668 3782 3864 3891 4005 4230 4342 4260 4408 4574 4826 5065 5112 5237 5140 5103 5388 5508 5550 5686
 5852 5805 5942 6275 6384 6482 6405 6570 6781 6811 6698 6900 7100 7040 7198 7364 7643 7941 8301 8541 8867 9180 9329 9524 9764 10281 10465 10501 10975 11481 12213 12527 12425 12541 12457 12821 13788 14527 14921 15489
 1635 1663 1742 1826 1902 1986 2060 2163 2268 2339 2377 2426 2511 2541 2592 2666 2729 2837 2924 3074 3233 3387 3491 3564 3692 3896 4020 4064 4178 4361 4651 4882 5034 5163 5156 5295 5523 5742 6035 6294
 406 410 418 447 472 496 511 529 554 586 596 613 645 661 679 704 724 750 782 839 888 955 1009 1037 1072 1135 1202 1225 1250 1295 1355 1430 1496 1553 1580 1583 1598 1621 1649 1655
 100 107 121 131 143 155 166 184 205 212 214 226 245 257 268 287 299 314 322 331 337 347 348 354 375 399 414 425 432 457 500 532 545 561 562 615 678 726 803 860
 53 51 56 60 63 64 67 78 85 85 91 102 111 122 127 119 121 124 136 152 188 221 199 191 197 189 172 168 175 181 187 200 224 259 274 311 341 357 395 449
 495 519 546 572 603 645 675 702 734 778 800 795 807 804 802 823 839 866 876 923 954 956 986 986 1005 1022 1052 1053 1071 1108 1196 1218 1231 1222 1230 1223 1240 1272 1331 1372
 106 115 123 135 143 150 157 163 173 180 188 190 199 203 209 213 221 232 237 245 249 258 268 275 281 301 317 338 347 370 401 431 448 465 477 491 516 546 573 601
 463 449 467 469 464 462 468 490 499 478 469 480 480 468 480 493 498 520 537 549 576 603 629 666 703 777 779 773 808 849 907 958 976 984 901 937 1001 1059 1110 1151
 12 12 11 12 14 14 16 17 18 20 19 20 24 26 27 27 27 31 34 35 41 47 52 55 59 73 84 82 95 101 105 113 114 119 132 135 149 161 174 206
 6177 6157 6372 6483 6434 6513 6437 6801 7097 7323 7452 7694 8005 8133 8398 8639 8923 9317 9822 10369 10741 11136 11247 11428 12003 12680 13045 13351 13906 14541 15496 16272 16849 17477 17866 18480 19669 20629 21523 22707
 451 434 428 438 444 451 440 442 449 459 450 459 474 472 484 509 538 569 604 635 659 691 706 722 750 807 828 834 858 877 929 970 997 1033 1043 1071 1162 1222 1271 1332
 855 826 818 825 815 805 787 783 788 792 775 771 780 774 780 793 809 846 877 905 908 900 858 816 771 773 750 741 753 783 814 832 824 850 863 891 951 993 1017 1073
 306 307 322 350 379 411 426 464 521 572 599 661 721 767 833 884 960 1050 1170 1278 1359 1483 1525 1519 1634 1805 1901 1845 1973 2138 2378 2617 2783 2936 2981 3199 3700 4042 4374 4763
 223 208 196 191 194 193 189 198 211 219 226 243 258 260 265 277 291 306 320 331 340 353 365 379 397 433 440 444 474 509 566 600 591 598 619 638 707 780 796 849
 126 114 111 122 126 120 110 114 119 125 115 124 131 130 133 136 139 147 158 168 170 174 176 172 182 200 213 211 222 235 256 278 285 291 281 277 306 311 309 309
 221 218 213 208 200 190 184 179 172 165 151 146 142 139 132 131 131 136 141 147 148 154 153 152 152 157 157 158 159 163 166 174 174 174 170 171 172 178 181 185
 240 235 233 230 225 229 228 233 238 240 243 252 267 272 282 294 301 308 316 336 344 358 359 365 404 437 459 466 502 530 568 597 623 635 645 666 690 698 713 737
 825 846 905 958 989 1035 1084 1132 1191 1264 1331 1379 1418 1439 1486 1554 1630 1735 1882 2056 2220 2394 2520 2746 3050 3308 3537 3775 3962 4163 4401 4617 4878 5151 5373 5536 5673 5857 6084 6349
