 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000
 98178 101047 103754 104908 103356 103540 105096 107977 111017 113300 116246 119401 122083 124973
 98244 101122 103837 104990 103438 103628 105503 108429 111468 113716 116693 119840 122515 125411
 81007 83480 85792 86650 85055 85301 87242 90181 93133 95388 98258 101236 103776 106309
 1564 1665 1625 1618 1614 1581 1623 1679 1760 1789 1833 1979 2062 2075
 826 859 795 788 780 742 734 720 744 713 751 754 791 763
 738 806 830 830 834 839 889 959 1016 1076 1082 1225 1271 1312
 699 709 684 701 680 626 601 593 575 571 589 582 529 530
 44 51 57 59 56 54 51 49 52 54 54 49 44 40
 157 148 143 144 133 124 110 110 103 97 95 91 85 77
 390 398 374 388 388 348 339 332 315 315 333 333 290 302
 108 112 110 110 103 100 101 102 105 105 107 109 110 111
 4854 5015 5093 5040 4578 4405 4563 4883 5180 5444 5753 6073 6468 6777
 18590 18935 18988 18679 18006 17671 17662 18010 18190 18168 18352 18502 18273 18163
 10993 11233 11239 10959 10417 10129 10077 10335 10561 10664 10878 11094 11003 11010
 743 760 746 725 672 678 709 758 772 782 794 817 843 827
 502 512 511 493 457 459 473 493 502 497 502 522 539 547
 545 559 562 550 513 501 509 527 530 532 544 558 562 572
 732 762 764 749 716 681 672 691 697 703 705 710 692 694
 1375 1404 1414 1398 1327 1308 1317 1371 1421 1426 1461 1493 1508 1523
 2013 2076 2091 2053 1978 1896 1905 1964 2051 2074 2136 2176 2103 2083
 1756 1748 1730 1664 1581 1518 1512 1564 1607 1645 1675 1690 1647 1699
 844 843 844 816 776 813 830 892 961 959 974 988 1016 1014
 1160 1177 1188 1171 1089 1009 908 844 809 815 849 892 866 828
 957 1012 1004 975 947 905 872 846 827 842 851 859 836 833
 366 380 385 365 361 361 370 385 384 389 387 389 391 390
 7597 7702 7749 7720 7589 7542 7585 7675 7629 7504 7474 7408 7270 7153
 1555 1571 1577 1596 1604 1593 1610 1633 1642 1654 1651 1649 1657 1660
 54 54 51 50 48 47 44 42 41 40 40 39 36 34
 712 713 705 682 652 657 664 670 654 624 611 591 552 527
 1060 1053 1043 1001 968 962 953 960 919 846 804 744 675 598
 669 676 684 687 680 678 683 685 685 677 675 671 661 648
 1392 1441 1469 1474 1441 1404 1411 1449 1450 1444 1465 1477 1465 1463
 1009 1047 1058 1071 1066 1062 1057 1037 1027 1021 1020 1021 1023 1025
 159 156 153 155 156 154 149 145 142 138 135 133 130 125
 844 849 869 872 852 867 897 941 963 965 984 999 995 1002
 143 142 140 132 122 118 117 113 106 95 89 84 76 71
 5124 5262 5351 5450 5409 5369 5502 5656 5777 5884 6036 6226 6424 6617
 3037 3169 3272 3305 3278 3268 3408 3556 3684 3783 3885 4038 4169 4267
 276 268 262 246 237 229 226 220 220 211 208 211 211 202
 292 306 320 323 330 335 353 371 384 402 418 432 447 457
 1426 1306 1333 1326 1306 1307 1381 1457 1515 1551 1597 1660 1726 1760
 164 164 164 166 172 164 163 167 167 166 170 173 176 181
 572 802 851 899 889 887 921 953 995 1043 1062 1117 1159 1206
 18 18 18 18 19 19 19 17 15 14 14 13 13 13
 289 305 324 327 325 327 345 371 388 396 416 432 437 448
 1183 1181 1163 1208 1187 1159 1163 1182 1197 1229 1292 1341 1406 1507
 876 868 842 874 859 831 829 838 838 854 913 950 1003 1082
 307 313 321 334 328 328 334 344 359 375 379 391 403 425
 904 912 916 937 944 942 931 918 896 872 859 847 849 843
 5707 5841 6064 6013 5851 5856 5787 5971 6201 6280 6462 6622 6728 6827
 15468 15981 16472 16560 16124 16258 16692 17308 18030 18383 18759 19053 19609 20199
 6302 6382 6422 6496 6446 6369 6501 6620 6552 6637 6797 7022 7155 7163
 2158 2147 2156 2152 2067 2003 1988 1972 1935 1920 1926 1929 1922 1903
 356 354 352 360 364 392 444 468 447 492 547 628 668 645
 449 444 431 428 423 441 474 521 532 557 601 646 687 749
 1372 1390 1412 1457 1479 1462 1466 1468 1451 1449 1462 1501 1526 1500
 607 640 649 661 670 654 666 687 697 707 724 740 743 746
 1154 1189 1196 1207 1202 1184 1219 1259 1252 1274 1302 1341 1365 1372
 206 218 226 231 241 233 244 245 238 238 235 237 244 248
 22699 23690 25093 26093 26347 27166 28311 29461 30868 32232 33677 35177 36528 37958
 1332 1402 1463 1493 1444 1427 1441 1479 1522 1561 1603 1643 1709 1757
 1026 1014 1029 1060 1050 1068 1094 1118 1140 1163 1161 1175 1204 1228
 3939 4255 4543 4782 4642 4934 5338 5794 6372 6876 7525 8168 8786 9426
 849 886 922 955 909 911 962 1005 1061 1136 1182 1212 1269 1315
 309 334 353 368 320 324 340 320 343 358 360 368 366 359
 264 273 303 317 315 315 325 356 394 421 447 467 485 485
 805 824 891 943 954 996 1053 1143 1228 1294 1360 1394 1449 1532
 6349 6460 6785 7102 7412 7786 8040 8288 8496 8778 8989 9127 9254 9389
 842 893 935 919 918 927 939 940 937 945 963 991 1016 1036
 1432 1457 1500 1524 1568 1653 1701 1747 1799 1844 1901 1991 2068 2152
 2698 2897 3085 3260 3541 3444 3633 3808 3933 4065 4241 4462 4641 4824
 1321 1415 1514 1603 1695 1787 1900 2020 2118 2199 2304 2430 2538 2669
 1377 1482 1571 1657 1846 1657 1733 1788 1815 1866 1937 2032 2103 2155
 2123 2283 2459 2559 2471 2523 2595 2642 2808 2963 3111 3297 3419 3622
 731 712 825 811 803 858 850 821 835 828 834 882 862 833
 17237 17642 18045 18340 18383 18327 18261 18248 18335 18328 18435 18604 18739 19102
 5314 5336 5354 5345 5260 5060 4829 4661 4530 4378 4269 4207 4164 4262
 4489 4487 4498 4486 4411 4240 4046 3866 3722 3575 3476 3416 3370 3478
 2121 2156 2176 2221 2198 2181 2136 2051 1984 1913 1869 1845 1821 1931
 2368 2331 2322 2265 2213 2059 1910 1815 1738 1662 1607 1571 1549 1547
 825 849 856 859 849 820 783 795 808 803 793 791 794 784
 11923 12306 12691 12995 13123 13267 13432 13587 13805 13950 14166 14397 14575 14840
 11129 11499 11862 12151 12274 12404 12571 12710 12922 13079 13304 13528 13699 13953
 5648 5918 6112 6250 6308 6377 6479 6595 6769 6887 7070 7226 7359 7556
 5481 5581 5750 5901 5966 6027 6092 6115 6153 6192 6234 6302 6340 6397
 794 807 829 844 849 863 861 877 883 871 862 869 876 887
 -66 -75 -83 -82 -82 -88 -407 -452 -451 -416 -447 -439 -432 -438
