  1929 1930 1931 1932 1933 1934 1935 1936 1937 1938 1939 1940 1941 1942 1943 1944 1945 1946 1947 1948
 45606 43507 40485 37043 37534 40881 42389 45446 46633 44780 46123 48015 52606 57418 63059 64197 62573 56920 57255 58240
 45606 43507 40484 37042 37533 40880 42388 45445 46632 44779 46122 48013 52603 57421 63080 64252 62639 56967 57260 58233
 42454 40220 37115 33711 33692 36180 37387 39325 41129 38652 40008 41762 45321 47707 48270 47173 45685 48269 50563 51489
 8627 8441 8471 8370 8438 8523 8651 8544 8367 8066 7810 7589 7486 7341 7154 6931 6766 6713 6657 6610
 8391 8214 8239 8162 8235 8330 8440 8346 8118 7841 7595 7377 7279 7124 6950 6705 6539 6466 6400 6350
 236 227 232 208 203 193 211 198 249 225 215 212 207 217 204 226 227 247 257 260
 1017 956 839 701 724 857 876 934 993 897 870 965 1015 1021 949 905 855 901 968 1019
 130 113 86 59 60 72 84 105 132 108 116 131 144 141 138 111 93 93 103 106
 151 144 128 105 94 108 101 100 100 91 90 93 94 91 85 81 74 83 82 546
 476 457 424 364 379 438 450 464 478 424 389 447 461 487 439 419 392 397 437 -3
 168 157 127 114 133 173 175 190 202 202 197 206 216 197 193 213 220 235 246 265
 92 85 74 59 58 66 66 75 81 72 78 88 100 105 94 81 76 93 100 102
 2306 2183 1983 1644 1383 1460 1514 1763 1738 1686 1864 1941 2449 2859 2172 1646 1700 2551 3007 3262
 10556 9418 7983 6746 7273 8441 8983 9732 10686 9229 10086 11009 13274 15430 17556 17218 15360 14681 15396 15459
 5282 4491 3521 2742 2912 3610 3967 4488 5158 4113 4648 5412 7051 8902 10984 10787 9008 7826 8422 8397
 620 480 309 229 274 326 367 423 467 406 441 511 620 644 597 571 537 596 684 1263
 442 375 324 264 282 292 333 368 402 346 389 412 468 451 429 415 411 496 562 -4
 402 349 280 206 214 264 283 320 359 313 347 373 437 441 418 391 387 483 513 533
 1219 1094 859 687 750 919 998 1149 1319 1028 1159 1335 1646 1965 2465 2430 2079 1678 1870 3372
 330 273 225 178 184 223 252 280 316 259 288 333 415 467 515 500 466 507 491 -5
 769 676 513 376 396 509 581 668 795 630 666 798 1096 1375 1469 1418 1346 1407 1562 1573
 519 430 332 242 251 319 338 385 461 353 399 456 608 758 961 1038 927 849 930 889
 541 403 352 299 300 433 464 492 580 363 468 544 656 576 326 342 309 668 750 767
 150 147 105 80 71 101 105 137 171 141 186 302 676 1750 3273 3177 2046 595 513 -5
 290 264 222 181 190 224 246 266 288 274 305 348 429 475 531 505 500 547 547 -5
 5274 4927 4462 4004 4361 4831 5016 5244 5528 5116 5438 5597 6223 6528 6572 6431 6352 6855 6974 7062
 1078 1053 941 863 961 1108 1127 1182 1254 1198 1211 1258 1341 1424 1442 1479 1458 1534 1561 1558
 147 134 121 109 103 113 109 110 112 109 108 105 103 97 103 101 103 105 101 100
 1264 1097 1027 908 1083 1141 1198 1220 1265 1094 1217 1226 1386 1392 1325 1222 1169 1318 1331 1370
 793 740 687 604 642 710 779 841 855 820 920 936 1062 1099 1097 1078 1054 1149 1157 1203
 285 278 251 227 245 281 290 301 326 302 315 337 379 381 395 392 396 450 465 471
 630 632 561 492 460 504 523 568 619 594 595 586 599 573 567 568 588 689 728 743
 401 380 332 293 323 372 382 396 434 386 417 473 584 785 854 795 781 710 726 727
 128 125 105 97 99 115 121 124 132 131 135 151 168 183 186 197 207 219 224 230
 176 142 120 110 124 141 134 142 154 127 146 156 189 189 225 241 236 266 271 254
 372 346 317 301 321 346 353 360 377 355 374 369 412 405 378 358 360 415 410 406
 4068 3829 3377 2931 2795 2879 2908 3071 3234 2938 3040 3157 3404 3537 3706 3856 3939 4150 4231 4318
 3034 2795 2444 2100 2008 2077 2102 2218 2333 2073 2169 2256 2447 2586 2789 2960 3018 3039 3043 3039
 1845 1659 1405 1155 1084 1122 1113 1194 1251 1061 1114 1160 1285 1429 1534 1616 1628 1564 1543 1503
 438 414 382 348 326 316 315 319 322 300 296 293 293 314 355 372 381 435 442 421
 381 381 369 355 354 373 397 414 437 421 444 477 539 549 525 498 487 552 592 655
 168 160 145 131 136 146 150 144 153 136 142 144 146 109 141 208 250 203 165 152
 2 4 5 6 6 6 8 10 12 13 15 19 24 34 46 47 53 82 82 79
 25 24 21 17 20 22 23 25 26 23 22 23 24 25 25 26 25 27 28 30
 175 153 117 88 82 92 96 112 132 119 136 140 136 126 163 193 194 176 191 199
 539 531 468 422 392 391 390 409 441 419 424 434 478 504 521 519 536 652 687 742
 535 525 460 413 384 380 377 394 423 401 403 411 451 476 492 488 502 616 645 694
 4 6 8 9 8 11 13 15 18 18 21 23 27 28 29 31 34 36 42 48
 495 503 465 409 395 411 416 444 460 446 447 467 479 447 396 377 385 459 501 537
 465 473 437 384 371 386 392 418 437 423 423 443 454 422 373 353 359 429 469  NaN 
 30 30 28 25 24 25 24 26 23 23 24 24 25 25 23 24 26 30 32  NaN 
 1744 1685 1533 1395 1393 1530 1572 1690 1857 1857 1942 2015 2136 2041 1912 1936 2052 2419 2620 2642
 6077 5839 5507 5058 5038 5431 5608 5949 6305 6218 6440 6768 7126 6916 6648 6598 6862 7973 8376 8639
 1575 1551 1488 1423 1373 1401 1425 1475 1520 1520 1560 1611 1647 1636 1575 1561 1602 1813 1864 1890
 386 376 346 312 282 285 278 277 286 287 289 297 310 320 329 337 344 375 393 407
 143 118 103 95 104 98 89 100 98 83 77 73 64 54 50 50 52 66 61 63
 137 135 127 121 115 113 115 121 123 109 105 113 122 114 93 85 88 102 111 125
 358 368 361 355 341 348 364 368 383 396 414 425 435 428 406 392 404 475 513 495
 183 186 182 179 171 172 171 174 175 179 181 180 182 181 172 166 171 204 210 234
 368 368 369 361 360 385 408 435 455 466 494 523 534 539 525 531 543 591 576 566
 6484 6318 5934 5443 5275 5658 5850 6167 6429 6241 6396 6707 6784 6926 6598 6522 6549 7068 7444 7650
 518 504 465 417 403 453 469 494 520 522 526 538 557 561 573 584 584 632 636 636
 1008 996 941 886 860 910 950 994 1034 1008 996 1050 1095 1115 1090 1053 1073 1210 1243 1240
 24 22 20 15 14 15 18 20 22 21 20 19 29 47 58 41 26 30 36 -6
 209 207 192 198 204 231 233 265 269 276 290 296 314 310 305 320 343 418 455 480
 264 281 299 315 312 309 311 311 311 314 300 293 320 328 378 394 399 504 535 525
 153 153 147 128 124 141 155 171 184 178 179 181 191 200 211 221 222 236 237 231
 295 277 248 200 180 193 197 212 230 212 223 240 256 255 234 232 232 275 284 291
 750 749 725 691 679 695 711 750 785 807 813 841 861 878 894 895 892 983 1071 1141
 194 202 212 214 217 216 223 225 230 236 242 244 245 228 211 200 195 210 212 210
 287 291 292 289 286 287 293 297 304 312 318 321 326 333 340 344 346 364 387 492
 351 358 354 341 335 339 338 342 332 331 328 390 427 448 455 479 493 572 599 647
 83 85 77 69 69 72 74 78 80 82 86 94 106 131 110 104 112 131 144 183
 2348 2193 1962 1680 1592 1797 1878 2008 2128 1942 2075 2200 2057 2092 1739 1655 1632 1503 1605 1574
 3152 3287 3369 3331 3841 4700 5001 6120 5503 6127 6114 6251 7282 9714 14810 17079 16954 8698 6697 6744
 847 893 874 861 1237 1738 1799 3514 2834 3360 3312 3412 4419 6906 12078 14366 14217 5770 3528 3460
 548 593 576 564 937 1415 1463 3171 2485 2994 2937 3023 3988 6457 11573 13885 13722 5195 3018 2922
 267 310 296 290 294 357 449 521 517 507 560 642 944 1702 2497 2520 2420 1758 1386 1378
 281 283 280 274 270 271 286 316 341 357 381 592 1680 4154 9029 11365 11302 3437 1632 1544
  NaN   NaN   NaN   NaN  373 787 728 2334 1627 2130 1996 1789 1364 601 47  NaN   NaN   NaN   NaN   NaN 
 299 300 298 297 300 323 336 343 349 366 375 389 431 449 505 481 495 575 510 538
 2305 2394 2495 2470 2604 2962 3202 2606 2669 2767 2802 2839 2863 2808 2732 2713 2737 2928 3169 3284
 2195 2278 2378 2366 2505 2857 3092 2487 2544 2641 2674 2693 2705 2655 2577 2564 2589 2771 2992 3073
 1030 1057 1067 1056 1032 1031 1059 1080 1110 1139 1166 1176 1190 1186 1169 1158 1166 1215 1299 1350
 1165 1217 1267 1223 1174 1223 1268 1352 1401 1496 1497 1506 1509 1467 1408 1406 1423 1556 1693 1723
  NaN  4 44 87 299 603 765 55 33 6 11 11 6 2  NaN   NaN   NaN   NaN   NaN   NaN 
 110 116 117 104 99 105 110 119 125 126 128 146 158 153 155 149 148 157 177 211
 0 0 1 1 1 1 1 1 1 1 1 2 3 5 -21 -55 -66 -47 -5 7

