  1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000
 107843 111003 113824 115040 113729 113580 115601 118541 121531 123824 126790 129742 132204 134917
 107909 111078 113907 115122 113811 113668 116008 118993 121982 124240 127237 130181 132636 135355
 90672 93436 95862 96782 95428 95341 97747 100745 103647 105912 108802 111577 113897 116253
 3041 3103 3059 3055 3093 3013 3076 3153 3380 3338 3315 3345 3389 3338
 1968 1977 1880 1846 1862 1803 1800 1791 1968 1827 1814 1705 1693 1635
 1073 1126 1179 1209 1231 1210 1276 1362 1412 1511 1501 1640 1696 1703
 726 738 709 725 703 649 618 607 591 586 603 602 545 546
 46 53 59 60 56 55 51 49 53 56 54 49 45 42
 159 149 144 145 134 124 110 110 104 97 95 93 86 77
 409 420 394 409 409 368 352 345 326 326 345 349 304 315
 112 116 112 111 104 102 105 103 108 107 109 111 110 112
 6240 6453 6526 6513 6035 5876 6129 6406 6650 6950 7255 7602 8023 8368
 18958 19333 19397 19111 18427 18069 18109 18442 18626 18576 18776 18933 18659 18511
 11206 11464 11485 11217 10670 10376 10341 10582 10816 10911 11132 11349 11222 11220
 807 823 816 800 741 751 790 835 862 856 864 896 915 899
 518 531 530 518 478 485 497 515 525 521 531 543 562 570
 561 578 576 565 529 518 523 543 547 561 563 569 573 581
 733 763 767 753 720 682 674 692 700 706 706 711 697 696
 1394 1422 1435 1416 1345 1324 1336 1390 1442 1447 1481 1514 1517 1537
 2049 2111 2128 2091 2022 1937 1937 1996 2084 2096 2168 2211 2136 2109
 1763 1757 1741 1675 1589 1525 1522 1573 1616 1655 1684 1700 1656 1705
 849 848 847 819 781 817 835 895 963 961 976 995 1018 1019
 1165 1186 1200 1183 1103 1016 918 850 816 820 854 903 872 834
 961 1017 1006 981 953 911 881 853 835 849 860 865 841 838
 406 428 439 416 409 410 428 440 426 439 445 442 435 432
 7752 7869 7912 7894 7757 7693 7768 7860 7810 7665 7644 7584 7437 7291
 1594 1596 1599 1615 1628 1614 1635 1654 1659 1664 1676 1673 1679 1674
 54 54 51 50 48 47 44 42 41 40 40 39 36 34
 718 720 712 691 660 663 671 676 661 632 619 598 556 535
 1086 1073 1070 1031 998 990 982 998 950 880 831 774 708 617
 671 678 686 688 682 680 684 686 687 678 678 672 664 650
 1461 1539 1560 1576 1534 1488 1517 1551 1560 1535 1562 1577 1556 1544
 1013 1050 1062 1076 1073 1067 1062 1039 1032 1025 1024 1026 1026 1030
 160 156 153 156 156 154 149 145 142 138 135 134 131 125
 848 856 874 875 855 870 903 951 968 971 990 1006 1001 1006
 147 147 145 136 123 120 121 118 110 102 89 85 80 76
 5460 5606 5674 5754 5727 5704 5875 6037 6172 6318 6472 6655 6852 7016
 3358 3497 3580 3591 3577 3583 3753 3914 4041 4181 4283 4437 4569 4641
 276 268 262 246 237 229 226 220 220 211 208 211 211 202
 338 365 377 382 385 389 418 437 432 445 481 486 503 503
 1671 1542 1544 1513 1513 1532 1610 1714 1776 1853 1880 1954 2020 2041
 172 168 171 175 181 167 171 175 178 174 178 185 185 191
 574 808 858 907 895 893 929 959 1001 1050 1067 1123 1163 1215
 18 18 18 18 19 19 19 17 15 14 14 13 13 13
 309 328 350 350 347 354 380 392 419 434 455 465 474 476
 1192 1189 1172 1219 1198 1171 1180 1192 1221 1259 1323 1365 1423 1524
 880 873 848 880 865 837 840 844 852 873 938 960 1011 1089
 312 316 324 339 333 334 340 348 369 386 385 405 412 435
 910 920 922 944 952 950 942 931 910 878 866 853 860 851
 6022 6178 6413 6347 6201 6205 6141 6324 6555 6587 6739 6923 7018 7107
 17017 17479 18020 18099 17668 17697 18261 18898 19462 19851 20258 20407 20954 21432
 6900 7006 7043 7130 7064 6999 7162 7251 7211 7310 7425 7631 7817 7855
 2160 2149 2159 2156 2069 2005 1989 1973 1938 1923 1927 1933 1928 1906
 361 360 358 372 379 406 461 485 467 507 563 643 690 667
 522 512 494 489 482 508 553 592 620 646 679 732 797 873
 1372 1390 1412 1457 1479 1463 1466 1468 1451 1449 1462 1501 1526 1500
 756 794 802 832 842 820 847 853 854 871 875 881 873 895
 1523 1583 1592 1593 1572 1564 1602 1635 1643 1676 1684 1704 1759 1766
 206 218 226 231 241 233 244 245 238 238 235 237 244 248
