%DATES	FA174090005.Q	FA153091003.Q	FA173020005.Q	FA173030005.Q	FA173034005.Q	FA174021705.Q	FA163069103.Q	FA313161400.Q	FA173061105.Q	FA153061705.Q	FA173062005.Q	FA153063005.Q	FA153064105.Q	FA153064205.Q	FA153040005.Q	FA153050005.Q	FA604190005.Q	FA173099005.Q	FA175050005.Q	FA175012005.Q	FA175013005.Q	FA155111003.Q	FA175020005.Q	FA176300005.Q	FA176300205.Q	FA176330005.Q	FA156300103.Q	FA175005005.Q	FA175012065.Q	FA175005205.Q	FA155011005.Q	FA175020005.Q	FA174190005.Q	FA173165105.Q	FA173165205.Q	FA153166000.Q	FA153169405.Q	FA153167205.Q	FA173199005.Q	FA155400095.Q	FA176006005.Q	FA155011005.Q	FA176007005.Q	FA156007105.Q	FA176007905.Q	FA156012005.Q
195201	42181	0	6124	5948	0	12452	788	0	3796	12	6560	-612	1380	528	2672	7269	0	7716	56529	17909	10385	27075	1160	33176	4885	7142	21149	23353	13024	3243	5926	1160	15134	6840	1126	2386	168	4	4609	-1000	51400	5926	45474	20500	24974	236600
195202	35712	0	-896	7944	0	19952	-400	-284	5964	2356	9988	884	932	512	2832	4300	0	1580	57647	18407	10269	27261	1710	33896	4991	7171	21734	23751	13416	3098	5527	1710	16554	6308	3108	6382	156	128	472	-1100	44009	5527	38482	19100	19382	239600
195203	26981	0	4816	6240	0	3432	420	64	-1028	1208	2444	-900	700	524	2956	6317	0	3220	55822	18407	9177	25854	2384	34271	5057	7315	21899	21551	13350	1862	3955	2384	15424	6824	2411	4542	144	44	1459	-1100	34208	3955	30253	22900	7353	246000
195204	14337	0	-3680	9468	0	-1780	188	588	-1280	-3892	1876	-532	812	460	3092	4477	0	2760	59766	19301	10070	29698	697	34961	5046	7422	22493	24805	14255	2648	7205	697	14956	6980	1902	7378	80	144	-1528	-1000	25186	7205	17981	19900	-1919	251300
195301	39645	0	12664	8444	0	3932	920	1392	-2600	48	3192	-604	1092	492	3096	4985	0	6524	62728	19599	10677	31524	928	34564	5148	7364	22052	28164	14451	3313	9472	928	23094	7564	374	7897	204	652	6403	-1300	46015	9472	36543	20300	16243	255600
195302	39173	0	-6216	9216	0	26708	-212	-1052	17736	3100	4124	1068	1612	332	3040	5293	0	1132	61563	19698	10870	31466	-471	35229	5131	7468	22630	26334	14567	3402	8836	-471	15776	8324	2805	3529	212	756	150	-1000	50731	8836	41895	22300	19595	259600
195303	17645	0	4084	6400	0	-2588	476	20	-6332	1468	2548	-1460	356	336	2952	5389	0	1408	62359	19101	11275	31217	766	35651	5209	7493	22949	26708	13892	3782	8268	766	14379	7324	1991	3097	196	-260	2031	-1100	31074	8268	22806	21700	1106	259900
195304	2405	0	-6644	8620	0	-7440	-160	432	-7004	-4000	1800	956	164	372	2840	4393	0	636	62407	18803	11198	30489	1917	35894	5238	7598	23058	26513	13565	3600	7431	1917	3021	6980	1403	1845	268	308	-7783	-1200	27097	7431	19666	21600	-1934	259400
195401	27509	0	3688	8636	0	2424	472	200	812	-284	1564	-1072	392	340	2768	5141	0	4852	60482	18903	11004	29868	707	37598	5439	7651	24508	22884	13464	3353	5360	707	15448	6972	414	-739	260	64	8477	-1100	36045	5360	30685	22500	8185	262200
195402	32717	0	3036	10596	0	10304	-304	496	4848	2628	1840	-388	984	200	2716	5265	0	800	61457	20197	11014	30616	-370	38301	5557	7644	25100	23156	14640	3370	5516	-370	16785	10472	3858	1249	260	592	354	-1100	40188	5516	34672	19400	15272	261900
