%DATES	FL152000005.Q	FL152010005.Q	FL155035005.Q	FL155035015.Q	FL165035003.Q	FL165013265.Q	FL155011005.Q	FL154090005.Q	FL154000005.Q	FL153091003.Q	FL153020005.Q	FL153030005.Q	FL153034005.Q	FL154004005.Q	FL163069103.Q	FL153061505.Q	FL313161400.Q	FL153061105.Q	FL153061705.Q	FL153062005.Q	FL153063005.Q	FL153065005.Q	FL153064105.Q	FL153064205.Q	FL153067005.Q	FL153040005.Q	FL153050005.Q	FL602000005.Q	FL153080015.Q	FL153090005.Q	FL154190005.Q	FL154102005.Q	FL153165105.Q	FL153166000.Q	FL153162005.Q	FL153168005.Q	FL153169005.Q	FL153165505.Q	FL153167205.Q	FL153170003.Q	FL543077003.Q	FL152090005.Q	FL155012305.Q	FL155012603.Q	FL135012603.Q	FL165012603.Q	FL165013665.Q	FA156012005.Q	FL155035065.Q
195201	1216.85	404.24	290.3	251.3	39	1.25	112.7	812.61	133.75	0	60.25	73.5	0	99.59	0.98	66.25	49.08	17.17	0.12	7.5	6.13	18.61	154.37	3.61	0.75	58.45	29.58	0	323.06	9.46	85.7	82.15	52.83	24.6	0	0.38	2.81	1.54	1.39	1.06	1.11	1131.15	256.48	243.63	4.2	8.65	22.17	236.6	198.47
195202	1241.33	416.02	300.99	261.48	39.51	1.28	113.74	825.32	134.1	0	58.34	75.75	0	101.85	0.89	65.91	49.01	16.9	0	9.84	6.36	18.87	161.37	3.7	0.7	59.15	30.86	0	323.97	9.63	89.84	86.21	54.52	26.88	0	0.36	2.85	1.61	1.42	1.08	1.12	1151.49	261.67	248.63	4.31	8.72	22.35	239.6	206.96
195203	1255.03	420.48	302.25	262.39	39.86	1.29	116.94	834.56	138.67	0	61.39	77.28	0	103.9	1.05	67.05	49.03	18.02	0	10.61	6.13	19.08	161.33	3.84	0.68	59.89	32.29	0	324.15	9.81	92.9	89.22	56.42	27.97	0	0.26	2.88	1.7	1.43	1.11	1.14	1162.13	267.09	253.85	4.43	8.81	22.57	246	205.97
195204	1260.42	431.01	313.12	272.73	40.39	1.31	116.58	829.42	142.71	0	63.11	79.61	0	104.62	1.04	67.39	49.17	18.22	0	10.96	6	19.24	150.98	3.93	0.71	60.67	33.48	0	321.67	10.65	97.36	93.6	58.16	30.52	0	0.24	2.9	1.78	1.47	1.13	1.16	1163.06	268.57	255.33	4.48	8.76	22.89	251.3	214.57
195301	1270.38	439.76	318.64	278.19	40.45	1.36	119.76	830.62	145.5	0	63.98	81.52	0	105.57	1.27	66.96	49.52	17.44	0.05	11.88	5.85	19.57	148	3.87	0.74	61.44	34.59	0	320.1	10.83	99.67	95.7	59.75	30.9	0	0.25	2.95	1.85	1.63	1.15	1.18	1170.72	271.74	258.41	4.56	8.77	22.85	255.6	218.44
195302	1273.29	448.57	325.52	284.71	40.81	1.41	121.64	824.72	144.82	0	60.71	84.11	0	109.35	1.21	69.31	49.26	20.05	0.14	12.74	6.11	19.84	138.16	3.78	0.64	62.2	36.13	0	318.65	11	104.12	99.93	61.94	32.67	0	0.41	3.01	1.89	1.82	1.17	1.21	1169.17	275.06	261.63	4.64	8.79	23.09	259.6	222.77
195303	1287.44	459.41	335.47	294.23	41.24	1.47	122.47	828.03	149.18	0	63.48	85.7	0	109.99	1.39	69.13	49.26	19.87	0.21	13.54	5.75	19.97	133.43	3.75	0.66	62.94	37.39	0	319.55	11.15	106.79	102.61	63.97	33.35	0	0.22	3.06	2.01	1.75	1.19	1.23	1180.66	280.3	266.67	4.75	8.88	23.3	259.9	230.27
195304	1306.94	460.02	334.21	293.09	41.12	1.52	124.29	846.92	152.05	0	64.27	87.78	0	109.58	1.3	68.04	49.37	18.67	0.15	13.87	5.99	20.23	145.75	4.15	0.71	63.65	38.51	0	321.24	11.29	110.13	105.84	65.7	34.61	0	0.32	3.13	2.07	1.83	1.21	1.25	1196.8	281.88	268.24	4.8	8.85	23.18	259.4	227.39
195401	1327.79	464.69	335.85	294.74	41.12	1.57	127.27	863.1	152.47	0	62.71	89.76	0	110.3	1.42	68.2	49.42	18.78	0.14	14.39	5.72	20.44	157.81	4.51	0.79	64.34	39.77	0	321.7	11.41	109.94	105.59	67.14	32.74	0	0.35	3.2	2.15	1.85	1.23	1.28	1217.85	283.99	270.31	4.85	8.83	23.18	262.2	227.59
195402	1351.92	467.69	340.1	298.81	41.29	1.63	125.96	884.23	154.32	0	61.64	92.68	0	110.06	1.3	67.56	49.55	18.01	0.14	14.68	5.62	20.76	174.53	4.9	0.83	65.02	41.21	0	321.9	11.49	114.22	109.67	69.87	34.01	0	0.28	3.27	2.25	1.99	1.26	1.29	1237.71	288.63	274.8	4.94	8.89	23.28	261.9	228.94
195403	1390.23	476.78	349.42	307.59	41.83	1.64	125.72	913.45	160.22	0	65.96	94.26	0	109.43	1.3	66.2	49.7	16.5	0.15	15.25	5.47	21.05	194.49	5.47	0.92	65.69	42.35	0	323.32	11.57	117.12	112.3	72.01	34.24	0	0.38	3.33	2.34	2.23	1.28	1.32	1273.11	296.2	282.09	5.08	9.04	23.65	264	235.58
195404	1412.23	486.71	357.67	315.37	42.3	1.67	127.37	925.52	162.93	0	66.03	96.91	0	109.49	1.07	66.09	49.97	16.12	0.15	15.96	4.85	21.37	198.84	6.11	1.02	66.35	43.86	0	325.26	11.67	122.39	117.14	75.04	35.96	0	0.44	3.38	2.32	2.61	1.3	1.34	1289.85	300.59	286.37	5.15	9.08	24.06	269	240.33
195501	1435.06	493.61	362.4	319.29	43.11	1.69	129.53	941.45	164.86	0	65.85	99.01	0	112.01	1.36	67.64	50.17	17.48	0.04	16.48	4.75	21.74	205.61	6.53	1.02	67.03	45.34	0	327.24	11.81	125.58	119.98	77.83	35.7	0	0.64	3.47	2.34	2.9	1.32	1.37	1309.49	307.21	292.79	5.25	9.17	24.57	273.9	241.46
195502	1477.37	506.18	372.63	328.34	44.29	1.73	131.82	971.19	164.97	0	63.38	101.58	0	113.91	1.46	68.24	50.18	18.06	0.12	17.51	4.55	22.03	228.79	7.19	0.91	67.74	47.82	0	327.96	11.92	132.48	126.78	81.25	38.76	0	1.19	3.52	2.06	2.97	1.34	1.41	1344.89	315.23	300.56	5.37	9.31	25.24	280.7	247.08
195503	1521.29	520.45	383.72	338	45.72	1.8	134.93	1000.84	170.15	0	67.09	103.06	0	116.21	1.5	69.18	50.18	19	0.23	18.36	4.68	22.26	244.54	7.26	0.99	68.5	50.19	0	331	12.01	138.16	132.3	84.61	40.54	0	1.49	3.57	2.09	3.07	1.36	1.44	1383.12	322.71	307.81	5.48	9.43	26.06	287.1	253.38
195504	1545.68	530.58	392.01	344.66	47.35	1.88	136.68	1015.11	172.39	0	66.97	105.42	0	117.62	1.35	68.84	50.23	18.61	0.61	19.17	4.98	22.67	248.25	7.84	0.9	69.25	51.97	0	334.72	12.17	143.51	137.6	87.53	42.95	0	1.65	3.61	1.87	3.04	1.38	1.48	1402.18	328.01	312.98	5.55	9.48	27.15	291.3	257.13
195601	1589.57	542.33	401.62	352.51	49.12	1.94	138.76	1047.24	174.05	0	66.53	107.52	0	120.9	1.83	70.47	50.4	20.08	0.72	19.57	5.17	23.14	266.7	8.56	0.97	70.1	53.89	0	339.83	12.25	145.36	139.39	89.96	42.25	0	1.29	3.67	2.21	3.03	1.41	1.53	1444.21	333.96	318.75	5.64	9.57	28.57	295.5	262.55
195602	1600.95	552.93	410.36	360.68	49.68	2	140.58	1048.02	175.46	0	64.97	110.49	0	122.48	1.68	70.18	50.32	19.86	0.96	20.44	5.62	23.61	257.23	8.61	0.84	71.01	55.1	0	344.93	12.36	150.53	144.47	92.81	44.28	0	1.28	3.75	2.35	3.04	1.45	1.57	1450.42	342.33	326.82	5.78	9.73	28.7	300.4	267.87
195603	1619.61	564.37	418.18	367.18	51	2.07	144.11	1055.24	180.07	0	67.98	112.09	0	124.35	1.6	70.63	50.24	20.39	1.12	21.31	5.79	23.91	252.08	8.51	0.87	71.9	56.68	0	348.34	12.43	154.06	147.91	95.73	44.98	0	0.73	3.81	2.66	3.03	1.49	1.62	1465.55	346.02	330.41	5.85	9.76	29.7	304.7	271.45
195604	1657.01	573.02	423.18	371.42	51.76	2.13	147.71	1083.99	183.45	0	68.75	114.7	0	124.88	1.42	70.23	50.14	20.09	0.96	21.9	6.11	24.27	271	9.05	0.88	72.72	58.24	0	351.23	12.55	158.79	152.51	98.32	46.58	0	1.04	3.89	2.67	3.08	1.53	1.67	1498.22	347.46	331.85	5.88	9.73	30.2	311.3	273.1
195701	1664.6	583.92	431.09	378.48	52.61	2.21	150.62	1080.68	185.85	0	67.97	117.88	0	127.85	1.84	70.88	49.55	21.33	0.93	22.54	6.85	24.81	256.79	9.11	0.82	73.47	59.6	0	354.53	12.67	159.89	153.66	100.35	45.24	0	1.42	3.99	2.65	2.96	1.56	1.71	1504.71	350	334.37	5.92	9.71	30.85	314.7	278.13
195702	1702.71	595.28	438.82	385.26	53.56	2.25	154.21	1107.43	187.08	0	65.66	121.42	0	128.64	1.62	70.74	49.09	21.65	1.15	22.81	7.04	25.28	275.13	9.69	0.81	74.14	62.27	0	356.92	12.75	164.91	158.4	102.55	47.22	0	1.91	4.11	2.61	3.15	1.59	1.76	1537.8	354.27	338.53	5.99	9.75	31.56	318.8	282.71
