%Year.Qtr      Non-institutional   CPS total hours
%              Population          worked including
%              Age in [16,64]      military hours

 1959.1         102042128.17       34528946859.02
 1959.2         102334573.35       34790040826.60
 1959.3         102614018.52       34669861164.56
 1959.4         102849130.36       34539003372.37
 1960.1         103536455.55       34543852451.67
 1960.2         103763114.08       35148546062.03
 1960.3         104035105.93       35490933293.18
 1960.4         104346097.79       35342662970.60
 1961.1         104692190.71       35254812799.01
 1961.2         104989950.30       34781875114.81
 1961.3         105270709.89       34979845422.23
 1961.4         105375802.81       35474294949.24
 1962.1         105510385.46       35657739682.79
 1962.2         105896634.78       35838865208.71
 1962.3         106390884.09       35932032499.66
 1962.4         107014133.41       35828554286.06
 1963.1         107533495.81       35850104894.31
 1963.2         107985191.55       36028473516.06
 1963.3         108413220.61       36105509927.36
 1963.4         108857249.68       36557964389.27
 1964.1         109291745.67       36533673965.40
 1964.2         109701908.32       36809650471.24
 1964.3         110153404.31       36807283799.31
 1964.4         110618233.63       36852276952.01
 1965.1         111074071.65       37573457212.04
 1965.2         111515576.33       37927856974.88
 1965.3         111866747.67       38070075486.73
 1965.4         112221919.02       38347458859.14
 1966.1         112617483.22       38559356901.30
 1966.2         113028380.76       38820411730.66
 1966.3         113446944.96       39257175798.69
 1966.4         113883842.49       39161775172.16
 1967.1         114280528.40       38950717779.08
 1967.2         114733880.97       38612850802.52
 1967.3         115342566.88       39135218015.05
 1967.4         115904252.78       39405788996.63
 1968.1         116362939.99       39530927003.42
 1968.2         116757293.87       39553665816.06
 1968.3         117243981.08       39711692623.10
 1968.4         117823001.63       39960954718.74
 1969.1         118333500.55       40409967218.24
 1969.2         118792332.81       40209663805.18
 1969.3         119281498.40       40400351445.34
 1969.4         119847663.99       40511219323.87
 1970.1         120332074.76       40328656209.05
 1970.2         120840485.53       40215522469.64
 1970.3         121401229.64       39724100092.72
 1970.4         121986973.75       39672892829.54
 1971.1         122562333.13       39719763117.49
 1971.2         123158025.84       39622240459.80
 1971.3         123735385.22       39685955501.67
 1971.4         124336411.26       40236159204.03
 1972.1         125762556.55       40734279512.06
 1972.2         126338368.51       40938878671.47
 1972.3         126924847.13       41127767306.60
 1972.4         127439659.09       41247706000.25
 1973.1         128036979.82       41683707889.80
 1973.2         128640300.54       42267142355.11
 1973.3         129246954.60       42466171633.88
 1973.4         129842608.66       42673101100.26
 1974.1         130456217.26       42593406229.78
 1974.2         131069159.18       42538106244.27
 1974.3         131673434.44       42606679978.71
 1974.4         132281376.37       42463747981.32
 1975.1         132850611.88       41284240642.54
 1975.2         133405847.39       41343058054.19
 1975.3         134112082.89       41401658844.56
 1975.4         134704318.40       41922143402.45
 1976.1         135298330.76       42414344588.81
 1976.2         135852343.13       42635854672.51
 1976.3         136460688.82       43006803370.00
 1976.4         137011367.85       43311515103.09
 1977.1         137550762.32       43790091582.32
 1977.2         138143156.78       44298384342.30
 1977.3         138771217.91       44772615189.77
 1977.4         139332612.37       45043589062.44
 1978.1         139871855.99       45396707962.53
 1978.2         140419432.94       46668548437.69
 1978.3         141010009.89       46849787310.58
 1978.4         141619920.17       47140016585.87
 1979.1         142192203.48       47370623001.13
 1979.2         142723153.46       47573648566.82
 1979.3         143315436.77       48035011745.40
 1979.4         144010386.75       48186057079.18
 1980.1         144586690.52       47587118714.14
 1980.2         145108660.96       46977842003.02
 1980.3         145672298.07       47038605930.93
 1980.4         146123935.17       47541558768.54
 1981.1         146594216.99       47851082969.75
 1981.2         147037498.81       47736537053.74
 1981.3         147497780.62       47834076908.37
 1981.4         147960395.77       47498583806.70
 1982.1         148337971.33       46986050418.70
 1982.2         148731880.23       47013818297.31
 1982.3         149104455.79       46794206468.41
 1982.4         149499698.02       46573798372.68
 1983.1         149836110.77       46704835095.71
 1983.2         150165856.84       47369094762.93
 1983.3         150535269.59       48364863475.30
 1983.4         150913682.33       49198857504.30
 1984.1         151507717.67       49482920625.98
 1984.2         151820086.33       50667028428.12
 1984.3         152155788.33       50747718005.22
 1984.4         152558490.33       51012107834.41
 1985.1         152813209.08       51454713333.61
 1985.2         153101927.83       51699264629.51
 1985.3         153433646.58       51843185594.65
 1985.4         153825698.67       52427723337.72
 1986.1         154583635.33       52820958126.39
 1986.2         154952238.67       53018473296.67
 1986.3         155340508.67       53348352963.78
 1986.4         155743445.33       53742234507.33
 1987.1         156237971.58       54140932827.76
 1987.2         156621831.17       54548609848.74
 1987.3         156969690.75       55055599029.07
 1987.4         157279217.00       55418817321.06
 1988.1         157642299.33       55775543772.75
 1988.2         157927048.33       56298472752.09
 1988.3         158240797.33       56443689310.66
 1988.4         158516546.33       56879033337.15
 1989.1         158887133.67       57124720763.10
 1989.2         159143721.00       57387722610.67
 1989.3         159419308.33       57590728093.98
 1989.4         159685895.67       57737571053.23
 1990.1         161048124.42       57916661858.37
 1990.2         161305019.83       57670197576.28
 1990.3         161601581.92       57941615361.89
 1990.4         161975477.33       57445261227.52
 1991.1         162246839.42       57082516964.89
 1991.2         162496868.17       57076234053.61
 1991.3         162828563.58       56979715564.88
 1991.4         163223925.67       57161398758.58
 1992.1         163478905.17       57195259881.53
 1992.2         163741884.67       57198026343.47
 1992.3         164090530.83       57303768010.12
 1992.4         164512843.67       57492375840.92
 1993.1         164875158.50       57831152213.86
 1993.2         165196473.33       58389866800.07
 1993.3         165581121.50       58670127310.34
 1993.4         166006103.00       59277820468.72
 1994.1         166481533.08       59452911088.63
 1994.2         166929296.50       60293537104.01
 1994.3         167468393.25       60647603592.58
 1994.4         168030156.67       60997304395.93
 1995.1         168176423.50       61121592052.17
 1995.2         168455023.67       61019325066.54
 1995.3         168831290.50       61644308942.48
 1995.4         169240890.67       61518074297.77
 1996.1         169585348.50       61742981262.41
 1996.2         170008806.33       62066130255.36
 1996.3         170499264.17       62955604186.86
 1996.4         171027055.33       63251324846.77
 1997.1         171914848.67       63342906986.85
 1997.2         172303975.33       64112354364.27
 1997.3         172784768.67       64464481705.41
 1997.4         173302895.33       64451856680.42
 1998.1         173703629.00       64626680515.78
 1998.2         174154696.00       64699260941.37
 1998.3         174673429.67       65236131249.52
 1998.4         175229496.67       65826688666.92
 1999.1         175936798.25       65856826149.25
 1999.2         176421433.17       66163542185.85
 1999.3         176962401.42       66258865535.58
 1999.4         177508036.33       66979983653.17
 2000.1         180365861.75       67247581092.71
 2000.2         180954020.50       67414979774.23
 2000.3         181562845.92       67379534671.04
 2000.4         182136671.33       67096533586.07
 2001.1         182630532.50       66828693660.85
 2001.2         183218393.67       66721443801.58
 2001.3         183857588.17       66752815434.86
 2001.4         184500782.67       65988465653.94
 2002.1         185005245.50       66332477279.45
 2002.2         185497041.67       65913986718.89
 2002.3         186113171.17       65751985304.29
 2002.4         186740634.00       66623652290.93
 2003.1         187400653.08       66570750216.92
 2003.2         188009338.83       67449346444.43
 2003.3         188652357.92       67672023256.61
 2003.4         189278043.67       67868969786.81
 2004.1         189323491.75       67616007917.46
 2004.2         189864939.83       67807554105.42
 2004.3         190452387.92       68603498523.88
 2004.4         191048836.00       69080977330.60

